phases,av. probability
Fe Pd Ir,0.18441880297333355
C Ni Pt,0.18442674308266674
Al Ni U,0.18442869484266672
V Cr Ni,0.1844382407232666
Fe Rh Ir,0.18443927151233333
Al Ti Rh,0.1844446599373334
Co Ni Ge,0.18445357147206676
Ni Cu Ta,0.18446148881283345
Ni Er Pt,0.18446730206566678
Al Co Mo,0.18447323043053357
Ni Cu Lu,0.18447989044065008
Ni Nb Pd,0.18448058705353343
Fe Zr Rh,0.18448242986350002
Fe Pd Au,0.18448303525133333
Al Pd Ir,0.18449043141200014
Ni Rh Sn,0.1845070083892
Co Rh Pt,0.18451021385420005
B Co Zn,0.18454073343360003
Ni In Au,0.1845427895035
B Ni Eu,0.18454456124353344
Ni Cu W,0.18456256960463338
Ni In Pt,0.18457154750613333
B Al Au,0.18457558635370003
B Mn Au,0.18457650119456667
Ti Ni Mo,0.18459458111800003
Ti Ni In,0.1845957164316667
Ni Pd Os,0.18460307297433337
Al Cr Fe,0.18460430203816663
B Cr Co,0.18461817013539997
B Ni Sn,0.1846219893171
Ni Mo Ir,0.1846311016485334
Ti Ni Ag,0.18464582836883342
Ni Cu Y,0.18464690524164662
Ni Nb Rh,0.18465400019136677
Si Ni Cu,0.18465991983837682
B Mo Pd,0.18467547169403337
Ni Rh Os,0.18467811080000013
B Fe Ag,0.1846915792735667
Co Cu Pt,0.18470456574190006
Ti Ni Er,0.1847101034494667
Co Rh Au,0.18474362895166663
Fe Ni U,0.18476264022100994
Ni Pd Gd,0.1847651081526667
Ni Ru Pt,0.1847837010004666
Mn Ni Nb,0.18478503087333342
V Rh Pd,0.18479356593966667
B Ni Pu,0.18479875633276666
Fe Ni Hg,0.1848036338043334
Fe Ni Tl,0.1848063341845267
B Cu Ir,0.18481686879083337
Al Ti Mn,0.1848315580983333
Fe Cu Pt,0.18483486601939994
V Co Cu,0.18485919453360006
Ni Zn Zr,0.18487296206000015
B Fe Ho,0.1848792339392667
V Ni Yb,0.18489246090883338
Co Ni Re,0.18492509479040012
Al Ni Tl,0.1849301498976667
Sc Fe Ni,0.18494106586103332
Al Fe Zn,0.18494699947876672
B Fe Dy,0.18495125752803346
Ni Er Au,0.18495614844866673
Co Cu Au,0.18495735091896673
Al Ni Eu,0.18496552718833337
Ni Rh Gd,0.18496750568633333
Ti Co Rh,0.1849705919945334
Mn Ni Re,0.184973113475
Co Ni Os,0.18498966785423335
B Co Ru,0.1849939180006667
Co Cu Ir,0.18499714637297338
B Fe Tm,0.1849998662289667
B Co Er,0.18500104577783333
Co Ni Gd,0.18500161564043333
Ni Ga Zr,0.1850484610643334
B Ni Hg,0.18505081406166674
Al Zr Pd,0.1850685943706
Ni Rh Cd,0.18509922577033344
Al Cr Co,0.18510272027696678
Mn Fe Pt,0.18511226288000002
Fe Co Zr,0.1851432463280002
Al Ni Pu,0.18514654330500008
B Cu Au,0.18515079856890007
Ni Yb Pt,0.18517819384933346
Al Rh Ir,0.18519570650006684
V Ni In,0.1851970837596668
Mn Ni Sn,0.18519815310366664
Al Fe Ho,0.18519846468753343
Ni Ru Au,0.18519933629399993
Ni Cu Nd,0.18522247184272667
