,phases,rankings
429,Cs Ge Mn O      ,8.398555410413236
535,Cs O Rb V       ,8.243989622205003
27,Al Ga Mn O      ,8.520206919035545
100,Ca In O Ru      ,6.568801587440019
164,Ca Ni O Sr      ,8.004744482648759
181,Bi In Mn O      ,6.844737063167947
525,Ba Co Cs O      ,6.257788211668946
388,Mo O Rb Si      ,15.925002858317187
522,Ba Cs Mo O      ,8.32764142558509
404,Ba K O Ru       ,6.825388752501533
2,Al Ge Ni O      ,9.19615270219515
344,Ba Co Li O      ,8.330009131430812
436,Cs Ga Mn O      ,7.294436658727592
382,Cr Mg O Rb      ,6.824177862363177
208,Li Ni O Sr      ,9.34865771747266
26,Al O Si V       ,11.596134472407208
244,Bi Co Mg O      ,6.860616747993936
36,Al In O V       ,8.038281726756097
359,Ge O Rb Ru      ,9.646802311249699
332,Ca K Mn O       ,7.100478433512789
135,Ga O Sr V       ,8.9360888876551
83,Al In Mo O      ,9.557080491383857
4,Al Ga Ni O      ,8.20014010297987
106,Co Ge In O      ,8.944138119662293
304,Co Li O Sr      ,8.863870773743667
56,Ge Mg Mo O      ,10.066155982362964
494,Cs O Ru Sr      ,8.71892542174389
14,Al Ge O V       ,9.214296137354182
205,Bi Ga Mo O      ,8.440961618174454
224,Al Ba O V       ,8.232578689639665
258,Al Ba Mo O      ,9.718619531327123
324,Bi Fe O Si      ,8.897862024965722
57,Ge Mo O Si      ,11.60095121976293
301,In K O V        ,6.687238670407761
202,Bi Cr O Si      ,8.57295393219861
506,Bi Fe O Rb      ,6.615124255346091
147,Al Na O Ru      ,7.9089117916095
261,Ca Fe Mg O      ,7.130477833403163
271,K Ni O Si       ,9.926300320423493
449,Cr Cs Ge O      ,8.118513745395955
277,Bi Cr Li O      ,7.616684357477393
361,Al O Rb V       ,9.346041122636684
369,Bi Fe Li O      ,7.980619655964586
6,Ga In Ni O      ,6.993726897220539
59,Ca In Ni O      ,6.685815753949403
459,Cr Cs Ga O      ,6.690063335698603
515,Al Cs Fe O      ,7.313236642543892
444,Cs In Mn O      ,7.0884732343165595
220,Ca Mo Na O      ,8.29881649534554
162,Cr Mg Na O      ,6.591426113428705
351,Bi K Ni O       ,6.470226478537063
123,Al Na O V       ,8.027197052074422
193,Ba Mg Ni O      ,7.102225455968029
