#phases,average probability Tc>10K
phases,probability
N Nb Ru,0.6651023108666663
N Mg Pt,0.6650813901000006
Li C Nb,0.6650645543666672
N V Br,0.6649442762333336
N V Cs,0.6648704123333334
C Y Nb,0.6648470523666671
N Nb U,0.6646894642666666
Fe Cu Nb,0.6645827808999999
N Nb Sm,0.6644344586000003
N Cl As,0.6644090427666662
N Nb Nd,0.6643599647666667
O V Fe,0.6643312444133334
V Fe Cs,0.6642997616333335
Li N Al,0.6642825196333337
O Na Fe,0.6642081370699991
Fe Se Br,0.6642009392666666
H N Ga,0.6638967816866665
H N Cl,0.663882941833333
Fe Se Te,0.6638220545666661
N Fe Cd,0.6637848241966668
N V Y,0.6636378136866674
C Al Nb,0.6635612084666666
Nb Mo Sn,0.6633936207999999
V Mn Fe,0.6632576800000001
N Na Rb,0.6630592718333341
C N Hf,0.6630530400333338
Na Fe Mo,0.662883910476667
Li N Zn,0.6628632494333335
N Nb Ag,0.6626693533999998
N Br Zr,0.6626528681333338
N Fe Pt,0.6623928371666667
N Mg Ru,0.6621347774333333
N Nb Sb,0.6621209425000003
N Ca Zr,0.6621010887666668
N Mn Mo,0.6620562008333327
V Fe Sn,0.6619933004666665
O Cu Ga,0.6619558404999998
Na K Fe,0.6619260516533335
C N Tl,0.6618710771666668
N Cu Zr,0.6618446403666663
N Mg Ag,0.6618011337333332
H N Zr,0.6617153098999999
Li O Fe,0.6615059590733335
N F Nb,0.6614750929666667
C N Te,0.6614084967666666
Li N Hf,0.6612959551333338
C K Nb,0.6612079142333327
N Nb W,0.6610878629999998
N Nb Lu,0.6610524870333336
N Mg Ge,0.6610502788166671
N Si Fe,0.6610197356333334
C N Au,0.6610142072666665
C Fe Rb,0.6610030404666671
V Nb Sn,0.660995952866667
Li C Mg,0.6608913977
Na Ca Fe,0.6608689926199999
N V As,0.6608314814
N Cu Ga,0.6608160240666668
N S Fe,0.6607468456666673
N Mg U,0.6607402237999999
N Cr Fe,0.6607349302999997
Al Fe Se,0.6607293285866668
Mg Fe Y,0.6606058367999998
N Mg Er,0.6606009569333336
N Cl Sn,0.660586899566667
N Zn Mo,0.6603146131333333
N Co Nb,0.6602026726666662
N Mg Co,0.6601683403000004
N Mg Nd,0.6601033962666665
Fe Rb Mo,0.6600834160333335
N Ga As,0.6600821787333334
F Fe Nb,0.6600811336
N Ga I,0.6600576747666665
K Fe Ba,0.6600371576666665
Be N Mg,0.6600206290666666
Fe As Au,0.6599647683333332
N Mg W,0.6597716637333334
N K Cu,0.6597419564666667
Mg Fe Br,0.6596613880000001
N Mg In,0.6596013082999997
C N Pb,0.6595910574999999
Ga Zr Nb,0.6595743613666671
N Cl I,0.6595589545666672
N Ga Y,0.6594787220666666
N Mg P,0.6594549163333329
N Fe Eu,0.659452244486666
N K Br,0.6593480570999999
O Cu Mo,0.6593406237999998
N Mg Sm,0.6593078926666672
N Zr Cs,0.6591827226666662
Al Nb Sn,0.6591704301666671
O Fe Rb,0.6591170279700002
N V Mn,0.6589141076666668
Al Nb Mo,0.6587278031333335
Li V Ga,0.6585713514333329
Li Fe Rb,0.658545773193333
N Ca Ga,0.6584227214333329
C O Cu,0.6583908038999997
Fe As Hg,0.6583499092999997
N Mg Ti,0.6583181119333332
Li N Pb,0.6582553482333338
H K Fe,0.6582380581000004
Fe Cu As,0.6581685395333323
Fe Nb Te,0.657931939166667
N Cl Sr,0.6578093016999996
C Fe Cs,0.6577102793999998
N Mg Re,0.6576048351666667
F Fe Se,0.6575351521666666
C Ca Nb,0.6575090794999999
Ca Ga Nb,0.6574347060666664
Mg Fe Te,0.6574190342999999
Fe Se Au,0.657384583133333
N As Zr,0.6573288526333334
Fe Nb Tl,0.6573263190333329
Li N Tl,0.6572541097333335
Li B Mg,0.6572373310666667
C N Hg,0.6570342665333341
Li Mg Mo,0.6570189797333332
Fe Cu Se,0.6569382134999994
Na Ga Nb,0.6568649569666669
H Fe Mo,0.6568000370300003
B N Fe,0.65665668827
H Ga Nb,0.6566183617333333
C Fe Y,0.6563307177666667
N Nb Re,0.6560741294666664
C Ga Mo,0.6559474730999996
N Nb Pr,0.6559308116666664
C N Al,0.6558714236666664
B C Mg,0.655784724966667
N Fe La,0.6557774975200007
N Na Ba,0.6554985084333332
N Mg Lu,0.6554910290000002
O Cu Y,0.6554808577666669
N Nb Yb,0.6554262584999997
N Cl Se,0.6554210653666672
Li N Ta,0.6552932058000006
N K Ca,0.6552421111000005
C N Sc,0.655145317133333
C Fe Ba,0.6550243598999993
N Fe Ru,0.6548966681499999
N Cl Zn,0.6548069415999997
Li N Hg,0.6547850314333336
N Al Cl,0.6547196209866668
Fe Nb In,0.6546712014333337
B Mg Ga,0.6546211808333329
N Cl Mn,0.6546139336333335
N K Sn,0.6546006988666658
Ga As Nb,0.6545722604666667
Fe Se Hg,0.6545368316999998
Fe As Ta,0.6545060471333333
N Mo Pb,0.6543908248999999
Be N Fe,0.6543855777333332
Mg Fe Zn,0.654362400533333
N Na Br,0.6543496012333331
N Mg Rh,0.6542844847000002
S Fe Se,0.6542268713333336
N Fe Bi,0.6542202040166665
Fe Ga Zr,0.6540967253666669
N V I,0.6540645237066667
N K Cs,0.6540123930666668
Fe As Pt,0.6540029155333333
H N K,0.6539222827
N Mg Th,0.6538505469333334
H Na Fe,0.6536841294733327
Li C Mo,0.6536572707666668
N V Sr,0.6536276740666668
Cr Fe As,0.6535583450000007
N Mo Hf,0.6535514472333334
N V Zn,0.6535280365666665
N Nb Dy,0.6534626328666667
Li Cl Fe,0.6534121009799997
V Fe Zr,0.6533357728666666
Li C V,0.6531160061333333
V Fe Sr,0.6530874817666669
S Fe As,0.6529800038666667
C Y Mo,0.6528815757000003
N Mg S,0.65277920045
N Fe Rh,0.6527227891466667
C O Fe,0.6526320824399999
C Na Nb,0.652597952233333
Fe Mo Cs,0.6525762515666664
Cr Fe Nb,0.65252978728
C Rb Nb,0.6525119359666673
Cr Fe Se,0.652416404966667
Fe As La,0.6524066577000005
N K As,0.6523967435999999
N V Se,0.6523762171333333
N Na Cu,0.6523679224666663
N Mg Sb,0.6523614470000002
Fe Nb Pb,0.6523533170999997
Fe Nb Hg,0.6523287862333337
N Nb Th,0.6522741504666668
Mn Ga Nb,0.652211812666667
N Si Mo,0.6521803733999995
N Mg Yb,0.6521405690333331
Fe Mo Sn,0.6520628887833334
Fe Ga I,0.652027856133333
N Nb Ho,0.6517588971000005
Mg Fe Tl,0.6516853133999997
Fe Se Ta,0.6516217559999998
Sc Fe As,0.6515945894666664
N Cl Hf,0.6515082243333331
N Y Zr,0.6514895724666667
Li N Te,0.6514654456333334
C K Mo,0.6513435384333339
Cl Ga Nb,0.6512256432666668
N Nb Tc,0.6511189715666666
Mg K Nb,0.6510942272000002
N Rb Ba,0.6510265453000005
N Sr Zr,0.6510074613333331
Li N Au,0.6509816320666667
Al V Ga,0.6508759060000002
N Mo Ta,0.6507514818
N Zr Sn,0.6506807478666673
B C N,0.650659893633333
N Ga Se,0.6505491348666669
N K Y,0.6505437332333327
C N La,0.6505107053333334
Fe As Pb,0.6504197646000001
N Ga Sr,0.6502151589666668
N Mg Pr,0.6501690220666667
Ga Rb Nb,0.6500397814000005
Ga Y Nb,0.6499079043999997
Fe Se Pt,0.6498551452999997
H Mg Nb,0.6497051637333338
B Fe Se,0.6496706204999999
N Nb Gd,0.6495798296333333
Mg S Fe,0.6494397889799999
B Mg Mo,0.6493936307666663
B Fe As,0.6492935302000001
N K I,0.6491439087333333
N Mg Pd,0.6490934759999999
Fe Se Pb,0.6490110221333338
N Ni Nb,0.6489844761666671
Fe Nb Pt,0.6489001327666665
Mg Zr Nb,0.6488012032999995
Mn Fe Ga,0.6486680550666669
Fe Zr Mo,0.6486291534666666
N Nb Os,0.6486013922333326
N Br Rb,0.6485641398666665
Mg Cr Fe,0.6485616555666666
C N Cd,0.6484862376999997
N Mo Tl,0.6484635049666665
H N Na,0.6484198423333335
Fe Ga Sr,0.6484050792
Si Fe Nb,0.6483229318999999
K V Ga,0.6482720898666666
N Nb Ce,0.6481683610333332
Fe Se La,0.6480223251999998
Fe As Eu,0.6480140897000001
N Fe W,0.6479876218533333
Na Mg Nb,0.6478481542
C Zr Nb,0.6477432761333329
N Al K,0.6476804065666666
N Ga Sn,0.6476546812200007
Mg Ga Mo,0.647627585166667
N Zr I,0.6476041302000001
N Mg Tc,0.6475393320999998
N Fe Ag,0.6474587601699999
C N Cr,0.6474296293666661
Sc Fe Se,0.6474115845666667
C As Nb,0.6473841039666668
Fe As In,0.6472775136666665
H C Fe,0.6472593338366671
N Nb Tb,0.6471547439
C N Eu,0.647127762733333
Fe Nb Ta,0.6470140772000004
N Nb Pd,0.6469174481666671
C K V,0.6469001983999996
H Fe Ba,0.6468977536433334
Sc Fe Nb,0.6468923751533332
Cl Fe Mo,0.6468116106333329
N Na Cs,0.646807737766666
Cl Ca Fe,0.6467532200833335
Zn Ga Nb,0.646739116466667
Fe Nb Cd,0.6465331112333333
N Fe In,0.6464701961333337
N Mg Os,0.6464542272333328
Mg Fe Cu,0.6464161331666675
Li N Cd,0.6463843039000005
Mg Fe Ta,0.6463428225666669
Cl K Fe,0.6462945498466662
N Cu Rb,0.6462342378799997
C Cl Fe,0.6461938240533336
N K Sr,0.6461061264333332
Fe As Ru,0.6461038292333334
N Se Zr,0.6460953172666668
N Cl Tl,0.6460072503999996
N Mg Dy,0.6458744671666667
C Nb Cs,0.6458673130333332
N Mo Au,0.6458596384666672
Mg As Nb,0.6457791745666667
Li N La,0.6457353314000001
N Mg Ho,0.645676019266667
Fe Ga Y,0.6455649684333337
C N Er,0.6454039981333337
F V Fe,0.6453756188100003
H O Fe,0.6452751457233334
N K Mn,0.6452601799
Fe As Rh,0.6452122643666668
O Fe Cs,0.6451907158333335
Fe Rb Ba,0.6451759644666663
N V Hf,0.6451376340999998
N Nb Tm,0.645119245133333
Fe Se Ru,0.6449397288666667
Li Fe Cs,0.6448967776199998
Ga Br Nb,0.6448520359333334
Mg Al V,0.6447493594166666
V Ga Sn,0.6447271295666663
Fe Nb Bi,0.6446848728800004
N Mo Hg,0.644647211166667
C N Bi,0.6446334761200001
N Fe Er,0.6446085900633332
N Mo Te,0.6444826180333333
B Fe Nb,0.6444484499666668
Li Mn Fe,0.6442445011666671
N Mo La,0.6441429625333333
O Mg Mo,0.6441386037833334
Fe As Cd,0.6439782245333331
Ga Nb I,0.6439481101666668
Fe Se Eu,0.6439318187666667
V Nb Mo,0.6439067731999999
N Na Ca,0.643777727600001
C Ca Mo,0.6437553608666662
Li Al Nb,0.6437218329333333
Ga Nb Cs,0.6434990796333331
N Na Y,0.6434052978333333
V Fe I,0.6433608099533342
Ca Fe Ba,0.6432422963666667
C N Lu,0.6432021199999999
V Fe Cu,0.6431814927999999
Fe Nb La,0.6430781879999994
Na Fe Ba,0.6430020472000002
N Fe Lu,0.6429726058733339
N Mo Cd,0.6429688633666674
N Cl Ta,0.642810000633333
V Fe Zn,0.6427993966500002
N K Se,0.6427581092333331
Na Fe Rb,0.6426495768233333
C N Si,0.6423947997666669
N V Ta,0.6422773607000002
H N Rb,0.642268196433333
Ca Fe Rb,0.642261998296667
Ga Nb Ba,0.6422463729000003
N Fe Co,0.6422014618333336
N Mg Gd,0.6421860155666671
S Fe Mo,0.642142348333334
C Mg K,0.6421419031999996
C V Y,0.6421376675333328
C Rb Mo,0.6421375678333339
Li N Sc,0.6421336753333332
O Cu Hg,0.6420788783
N Fe Nd,0.6420521280700001
N Mg Tb,0.6420485233333333
Fe Se Cd,0.6420410431333333
Mg Fe Pt,0.6420216631799995
N Mg Ce,0.6419968454000003
N Cl Au,0.6419451609666667
N Ca Rb,0.6419110122333332
Mg Ca Nb,0.6418234010333335
Li Fe Zr,0.6417841540000002
N Na As,0.6417591397666667
Fe Mo I,0.6417568842466662
N Mn Ga,0.6416647751999999
N Cl Pb,0.6415783119666666
N Fe Sm,0.6415014718766672
N Fe Sb,0.6414675334633334
Fe As Bi,0.6414137251666667
Mg Fe Hg,0.6413691679533333
Fe Sr Mo,0.6412609180533335
N V Te,0.6411965048200002
H C Nb,0.6410878133666666
N S Nb,0.6410265921000006
Fe Nb Hf,0.6409238649100001
N V Tl,0.6409232248666672
O Fe Y,0.6408959645000002
V Fe Y,0.6408946518333332
K Fe Rb,0.6408370471699996
Fe Ge Nb,0.6408220344799995
N Al Zr,0.6408162548333333
Mg Cl Nb,0.6406979664666663
Mg Fe Pb,0.6406924378000002
Si V Ga,0.6406668928000003
N S Mo,0.6406260862333327
C N Pt,0.6406126105666662
N V Au,0.6406051294066667
Mg Sc Fe,0.640556175886666
N Na I,0.6405532262999998
H N Cu,0.6405325672666666
V Fe Br,0.6404854350499998
N Na Sn,0.6404215211666668
N Mg Tm,0.640374133
Li N Cr,0.6403717163999997
Fe Se In,0.6403644949333335
S Fe Nb,0.6403381031333338
N V Pb,0.6402675506200002
Fe Se Rh,0.6401927450666667
Li N Si,0.6401251639000001
C Mo Cs,0.6401038801000001
C Nb Ba,0.6399914717333332
H V Ga,0.6399574451666661
Mg Fe Au,0.6398327639799998
O V Cu,0.6398300627666661
C N Ru,0.6398061590999999
Ga Ge Nb,0.6397077786999997
Mg Rb Nb,0.6397007259666666
N Ga Ta,0.639655804133333
Li Mg Ga,0.6396130089333335
C Mo Sn,0.6395319316000002
C Ca V,0.6394803615000003
Fe Nb Eu,0.6394291436666669
H Fe Rb,0.6394201233033332
N Rb Sn,0.6393512710666667
Fe Nb Ru,0.6393329577800005
C Si V,0.6392429052333333
N Ga Hf,0.6392196395333329
N Cl Te,0.6392103231666664
N Fe Pd,0.6391571292900001
Fe Nb Rh,0.6388682761666667
N V Hg,0.6385967404666666
N Ti Fe,0.6385327184000001
Mg Mn Nb,0.638433186933333
N Nb Ir,0.6383803461333338
N Si Cl,0.6382901952333331
Li N Er,0.6382639010666665
N Mn Zr,0.6382414902466664
Li N Eu,0.6382322991666668
N Cu Ba,0.6381862227000005
O Fe Zr,0.6381487108999999
O Fe Hg,0.6380613758766668
C Cl Nb,0.6380461275999995
Be C N,0.6379594404000003
