phases,average probability Tc>10K
Fe K S Se,0.7615605981666659
Ba Mo N O,0.7615467628999999
Cl Cu H N,0.7614731720333335
Fe Mn O Sm,0.761466810966667
Cr Fe Nd O,0.7614257909666664
C Fe Ga La,0.7614041072200001
Cs H Li N,0.7613260979666666
Ba Cu O Sr,0.7612786826666669
Fe Gd O Y,0.7612543420333333
H I Li N,0.7611917229666663
Fe H Mo Zr,0.7611712402333327
Fe K O Si,0.7611337539666665
B C N Zn,0.7611066694666667
Al Ba Cu O,0.7611045682333336
C Fe Sm V,0.7609827951999998
Al Fe Mg Pr,0.7609656319666663
H Li N Sr,0.7608043620666669
