phases,average probability Tc>10K
Ba Ca Fe O Y,0.8554424047666663
Ca Fe Mg Mn Ni O Si,0.8554301634333331
C Fe K N O,0.8554164117999996
C Co Cu Fe K N,0.8553720194666672
As Fe H N O,0.8553449565666669
Al Cr Fe Mg O Zn,0.8553223269333332
Ca F Fe Na Nb O Si Zr,0.8552632246666665
Cl Fe H Mg Mn O Si,0.8551829840666674
Al Cr Fe H Mg O Si,0.8551596455000001
C Cl Co Fe H N O,0.8551206127666667
Ca Cl Fe H Na O Si Zr,0.855112364833333
Al Ca Fe H O Pb Si,0.8550747468533336
Ba Ce Cu Fe Nd O,0.855064620533333
Al F Fe H K Mn O Si,0.8550268953999997
Cl F Fe H N O P,0.8549585265333334
As Ca Co Fe H Ni O,0.8549333265333335
C Er Fe H N O S,0.8548788002666668
C F Fe H N O,0.8548772448000002
Cu Fe H O Rb Se,0.8547871014999998
Fe Mg Mn Na O P,0.8547640887333333
C Fe H I N Te,0.8546401584333335
C Dy Fe H N O,0.8545724961666668
C Fe Hg N O,0.8545649259000002
Cu Fe H Na O P W,0.8545071890999998
As Ca Fe H O,0.8545056451333329
C Cl Fe H N O S,0.8544536545666674
Al F Fe H K Na O Si,0.8544011563666671
Al Fe H N O P,0.8543882323999997
Ba Fe La Mn O Y,0.8543713320666668
C Fe H Mg Na O,0.8543416548333335
Ba Ca Cu Mg O Y,0.8543000636333334
Ba Fe H Mn O Si Sr Ti,0.8542378767000001
Be Ca Dy Fe H O Si Y,0.8542121669666667
Cu Fe H O Pb V,0.8541978436
Cr Fe K Mg O Ti Zr,0.8541503965000006
Cu Fe O Pb Sr Y,0.8540778643666666
Cr Cu Fe Mg Ni O,0.8540243400666664
C Ce Fe H N O,0.8539807046000004
Ce Cu Fe O Sr Tb,0.8538676913333332
Ba Ca Fe O Sr,0.8538575423000003
As Ca Fe Nd O,0.8537431579000002
Ca Cu Fe Nb O,0.8537197601666666
Al Cr Fe H Mg Ni O Si,0.8536847273333332
C Ca Fe Mg O,0.8536575954666665
C Cu H N Na O Zn,0.8535936483999994
C Cs Fe Li N,0.8535026829333335
C Fe Gd H N O,0.8534986452333337
Al Fe H Mg O Ti Zn,0.8534956724999997
C Cu H K N O Zn,0.8534948091333334
Al F Fe H K Li O Si,0.853460668933333
Eu Fe H K Na O P W,0.8534498168333327
Fe Mg Na O Se,0.8533932386999997
Ba Cu Fe O Sm,0.8533384235999999
Al Fe K Li Na O Si,0.8533295672666669
B C Fe H N O P,0.8532853749333328
Ba Fe H Na O Si Sr Ti,0.8532517490666666
Al Cr Fe Mg Mn Ni O Ti,0.8532254077333339
Al F Fe H Mg O Si,0.8531515145999999
C Co Fe H N O,0.8531442261000001
Al Ca Fe Na O Si,0.8531174235333334
Al Fe Mg Mn O Ti,0.8530624740333329
Al Fe H K Mg O S,0.8530386794666661
Ba Ca Co Fe O Zn,0.852975630066666
Fe H K Mn Nb O P Ta,0.852899835333333
Ca Fe H Mn O P Zn,0.8528407003666661
As C Cu H N O V,0.8528126577333338
Fe K Li Mn Na O Si Ti,0.8527959821
Ba Ca Fe O Zn,0.8527809109999998
Al Ca Fe Mn O Si Ti,0.8527561116333332
C Cs Fe K N,0.8527505158333336
Ba Cu N O Sr Tl,0.8526785840666676
Cu Fe La Mn O Si,0.8526617934
As Fe H Na O W,0.8525090744999996
Al Ca Fe Mn O Si,0.8524883925666668
C Fe Li N Rb,0.852390663166667
Ba Cu Fe In O,0.852352812233333
Cr Fe Mg Na O Si,0.8523158785000001
Cl Fe H N O P,0.8522547156333331
As Cu Fe H O,0.8522049852333332
Ba Cl Cu Fe O Pb,0.8521986174999998
Fe Li Mg Mn O P,0.8521842773666664
Cu Fe Mg Ni O Zn,0.852162815933333
C Fe Mg Mn Na O S,0.8521348680999997
As Fe H Mo Na O,0.8520994336666671
Ba Cu Fe O Pr,0.8520931203666663
Fe H N Na O S W,0.8520735018
C Fe Mn N O,0.8520433725999997
Al Be Fe Mg O Zn,0.852006527066667
C Cu H Mo N O U,0.851958405366667
Cs Fe Ge H K Na O W,0.8518950387333334
C Fe Gd H N O S,0.8518507207000001
B Ca Cl Fe H Mg O,0.8518230184000003
Cu Fe H Na O W,0.8517591942333333
Fe H K Mg O Si,0.8517135867000003
Fe H K Na O Se W,0.8516365173333338
C Cs Fe N Na,0.8516296736333332
Al Ca Ce Fe H O Si,0.8515522375999998
Al Cr Fe Mg O Si Ti,0.8514859545000001
Al B Ca Fe H Na O Si,0.8514834549000004
C Cs Fe N O,0.8514228806666667
C Cu H I K N O,0.8513813376333336
C Fe N O Rb,0.8513283619333333
C Fe N Na Rb,0.8513237126666666
Ba Ca Fe La O,0.8513172665999997
Ba Ca Cu Hg O Sr V,0.8513158224666667
Al Fe H Mn Na O Si Ti,0.8512348874999999
As Fe H O Pb Zn,0.8512083128000001
F Fe Mg O Si Y Yb,0.8511338874666666
Al B Ca Fe H Mn O Si,0.8511172892666667
C Cu H N Na O P,0.8511107426000002
Al Fe H Mg O Si Ti,0.8511054638666669
Cl Fe H K Li O Si W,0.8510496130999994
Al Fe H Mn O Pb Ti Zn,0.8510302355333328
Al Fe H K Na O Si,0.8509948785999998
C Cu Fe K N,0.8509741033333332
C Cu Fe Li N,0.8509417330666671
Ce Cu Eu Fe O Sr,0.8509330404333334
C Cr Cu N O Sr Tl,0.8508138562666671
Ba Ce Fe H Na O Si Ti,0.8508025381333327
Ca Fe Mg O P Si,0.8507967556
Fe Mg Mn O Pb Sb,0.8507877537999997
C Cl Cu H Mo N O Se,0.8507776107
Fe K Mn Na O Pb Ti Zn,0.8507712131333334
Fe H Mo N O Sb,0.850766465646667
As C Fe H Mn O,0.8507042662666662
C Cu H N O Te W,0.8506672561999995
Fe H Mg Mn O P,0.8506353235999996
C Co Fe K N Ni,0.8506068090000001
Fe H Mg Na O Si,0.850580774033333
C Fe N O Zn,0.8505777858666668
Fe H Mg Mn O Si,0.8505331992333328
Ba Ca Cu Hg O Sr Y,0.8505241414000002
Fe H Mg Na O P,0.8504769787999997
Al B Cr Fe Mg Mn O Ti,0.8504292466666664
As Ca Fe O Sb,0.8503866710333329
As Fe K Na O,0.8503704638000004
Ca Fe La Mo O W,0.8503565153999993
