,phases,ranking
2525,Ba Ca Ce Cu Fe O Tl,9.292022
312,Ba Cu La O Sr,11.088709
211,Ge La,6.32782
3574,Bi Co O Sr,10.674167
2877,Eu Nd S,8.689689
296,B Li Pd Pt,10.392395
194,Cu Th,7.4655128
3404,As Bi Pb,8.222839
2571,Fe Si Y,9.125035
3033,Ni Rh Ti,10.156725
2277,As Ca Fe Pt Sm,11.193955
3182,Ba Cu Eu O S,9.083206
1411,Nd Ni O Th,10.240004
3603,Al C La,8.9272785
3519,Fe Ge Y,9.629797
3541,Mo Rh Ti,6.4770675
3049,C Ru U,4.656727
52,Ca N Ni,9.889987
3510,Bi K O Sr,10.572371
1260,P Pd Tb,6.6131244
239,Mo Se U,6.2865796
450,Bi H Th,8.038536
3883,Pd Rh,8.946867
1826,Fe Si,9.119719
106,B Er Rh Ru,7.4315863
2174,C Ru Y,7.931952
301,Cu Gd Mo O Sr,8.059877
967,Co Ga Np U,7.952881
1704,Ce Cu Nd O Sm,9.398208
324,Ba Bi K O Rb,10.639391
1419,As Fe Gd O,11.204103
2326,Ca Cr Cu O Sr,10.1229
151,N Sr Zr,8.949633
1121,Ba Ca Co Cu O,9.190889
3405,Al Ru,8.026446
2370,B Lu Ru Tm,6.7530417
2807,Re Si,8.877847
3859,Bi Fe O Sr,9.584575
3845,As Fe Ho O,10.619681
300,Ga La Pd,8.4712925
3607,Ir Mg Si,6.913033
2158,Ce Co In Zn,9.674654
3115,B Ca Cu O Sr,10.502011
3931,Cd Pb Sn,6.9226832
1563,Ba Cu Mn O Y,9.448668
186,Au Te,5.838915
2141,Ba Ca Cu Hg O Tl Y,9.597604
508,B C Ni Pt Tm,11.017609
303,Ba Bi O Pb Sr,8.827355
477,Mo Zr,5.5485106
3826,K Ni S,9.536318
2879,Ca O Ru Sr,10.268565
1957,Ba Bi Pb,6.6701813
611,Au Ba Cu La O,8.9019785
2413,Co Fe K Se,8.105751
1814,Ni Zr,9.462895
127,La Ru,3.9643726
1775,La Ni O Th,8.87858
2190,Gd La,5.4575706
221,Pd Sn,8.552688
2688,Be U,3.5307074
4183,Cl Fe Se,5.8255386
1913,B Er Lu Ru,7.3005652
1015,Sn Ta V,9.360922
1811,C Sc,5.9879794
1386,Ce Si V,7.2744102
444,Bi Cu O Sr Tb,8.470424
78,B Lu Rh Y,9.452943
2336,Ce Cu Mo O Sr Y,9.129923
1673,Ca Pb Tl,8.207887
2186,Ca Cu Nd O Sr Tl,10.827138
754,B C Ni Pd Y,11.481257
3036,Ce Cu Ga O Sr Y,9.333152
497,In La Pr,8.02955
3717,B Mo V,6.838862
605,Fe Te,7.1105447
210,Hf Nb V,8.52084
631,Cu Mo O Sr Yb,8.343993
1298,Nb Sb,5.69251
1377,Ce Ge Pt,7.79768
690,Os Re,6.252672
1463,As Ba Fe La,9.986536
2061,Pd Ru Sb,8.120452
3364,Ga Nb Sb Sn,8.921912
63,Ba Cu Fe O Sr Tm,10.055355
3791,N Ni Zn,9.7381735
1796,Sn Tl,8.715693
2833,Bi Ca Cu Nd O Sr,9.8908
1863,B Ba Ca Cu O Y,9.950865
559,Er Os Si,7.1857743
464,Ca Mo O S,10.289366
1273,Bi Ca Co Cu O Pb Sr,9.458129
1051,H Nb,7.7644534
1398,Be Rh,6.7640615
3281,Mg Rh Si,8.192903
513,Eu Pt Si,6.8539667
693,Ba Cu O Pr Tm,7.8623295
2975,Ba Cu K La O Ti,10.698068
621,Tl V,7.9985437
826,As Fe O Rh Sm,11.580288
2380,Rh Ti V,9.079175
1288,Ba Cu Er Fe O,6.802022
657,In Pb,6.3636026
1773,Bi F La O Te,10.357512
2969,Ba Cu La O Sc Ti,10.407485
3478,As Ba Fe O Sc,8.965022
1914,Fe Se Sm,7.161389
4020,Cu Gd Nb O Ru Sr,9.214919
3970,Ag La Sb,5.21181
3704,Al Lu Pd,9.552249
3518,As La Os,7.971031
3091,As Co,8.609291
3291,Ag Mo S,7.370092
1465,Ca Cu Ho O Pb Sr,9.1702385
376,Bi Ca Cu O Sm Sr,9.939066
746,Ba Cu Fe O Pr Y,8.398767
567,Bi Ca Cu La O Sm,9.522787
217,Ce La Ru,4.1465354
3774,Ce Cu Eu O Sr,8.283806
3021,As F Fe O Ru Sm,10.692614
3409,Ce Cu Eu Nb O Ru Sr,8.863602
2815,Ca Ir Si,7.8079586
278,Ba Ca Cu O Sm Sr,10.693921
236,Co Ga Pu,7.4702115
3555,Ba La Nb O Pr,8.360464
1343,H Rh Zr,10.364657
998,Gd La Sn,5.185591
658,Au Nb Pt,8.218819
348,Be La Si,5.3640623
4189,Bi Se,6.6330395
2930,Ga Rh,7.474607
363,As Ge Y,8.950166
1701,As C F,9.302411
94,Ba C,6.329128
645,Ba Ca Cu Nd O Pr,9.850045
3657,Rh Si U,7.4393497
493,Ba Cu Dy Fe O,6.6601853
138,Cu O Re Sr Tb,7.9984775
2679,B C Rh Th,8.409334
1512,Mo Se,6.078967
283,Ca Cu O S Sr Y,10.116382
1978,Ba Pt Sb,6.822163
1255,Cl Cu O Pb Ru Sr,10.353304
3822,In Pd Y,10.320851
3927,Nb Ni Si,9.155378
2039,Ag Ge,7.6779847
3803,Br Mo Se,6.6043067
3111,As Fe Na,10.574629
3297,B Dy Ir,7.4455476
69,Ce La Th,4.9709344
2948,Mn Sn,7.8927803
442,Cu Gd O Pb Sr,6.9909477
1479,Ca Cu O Sr Th Tl,10.995208
3149,Ge Tl,7.49704
2385,C N Th,6.8076406
81,As Fe La O Y,10.125474
2206,Bi Ca Cu I O Sr Y,9.697441
3737,B Eu Ru,6.7443805
4147,Ba Cu Er Ni O,10.2181
224,Ba Ge Ni P,9.765985
4066,As Ca Fe Sm,10.981333
1856,Ca Cu O Tm,8.252222
1953,La Nb S,7.729155
620,Ca Cu O Pr Ru,8.320753
3041,Au Pb Pd,7.383919
1477,Cu La O Sr Y,9.687819
2288,Cu Gd La O Sr,9.134909
4028,Nb Sb V,7.94252
526,C Mo Nb,6.7034917
414,Co Zr,5.3904023
3744,Al Cr Nb,7.450391
1516,As Co F Fe Nd O,10.578639
1554,Ce Gd Ru Y,6.898661
902,B Ru W,7.5517483
421,Ba Cu O Sm Zn,9.45802
773,C Si W,7.617983
1878,Hg,5.45527
549,Se Ta,5.2450137
330,Mo O S Sn,9.582321
120,La Sn Th,5.946865
2303,Ni P,9.602444
3645,Cu S V,9.551054
3675,Cu Nb O Pr Sr,8.467519
2494,Nb S Sm,8.235989
190,C Si V,8.116493
3470,Bi Mn O Pb Sr,9.93389
503,Ce In Ir Pt,6.911152
2517,Al Pd Y,9.002435
2346,Ba Cu O Sr,10.661791
602,C Nb,5.485323
808,Al Sb V,9.270261
215,Cu La O Zn,9.217011
1044,Ce Eu Gd La,5.796904
749,Mo S Se,7.9209747
132,Bi Cu Mo O Sr Y,9.0137415
905,Cu Nd O Th,9.112512
1002,Al Lu,7.1650057
3445,As Co Eu Fe,10.650653
579,Bi Ca Cu Li O Pb Sr,9.519403
2734,As Ca F Fe Mn,9.682417
188,As Ba Fe Sr,9.815161
544,Co Sn Yb,8.669799
2911,Hf,4.4805026
2287,Ba Cu Ho O Pr,7.105242
724,Bi H Na O S Ta,10.091202
578,Ca Cu In O Pb Sr,9.878622
1838,Cu O Sr Tm,9.0632
2724,Ce Fe O P,9.65239
2363,As Co O Sm,10.899682
2,Mo Ru,4.011618
2300,Ca Cu Ga O Sr,10.288685
1045,Nb Si V,7.2188854
3977,As Cs Fe,11.124077
2755,Bi Eu F S,9.2539
1929,Bi C Cu O Sr Tl,9.948519
1611,Bi F O Pr S,11.031165
911,C La,6.1476474
65,Ba Cu La O,8.548043
3496,Rh Sc Si,6.44985
4033,Ir Sn Tm,5.515891
171,Cu N Ni,10.182432
2989,Al C V,9.537684
1722,B La N Rh,8.592941
3377,B Ho Y,7.855196
3847,Ag H Pd,10.397808
3616,Ga Gd,7.017135
44,Hf Os W,5.330913
949,Rh Ru,6.3890314
473,B Ho Rh Ru,6.918154
2499,Ge Pt,7.6983314
2113,La P Ru,6.5845284
1226,Al Nb Zr,9.076116
3548,Cu Gd O Th,7.5187
1127,Bi Cu O Sr,8.641322
336,As Fe La O Rh,10.815615
4035,C Cr Cu O Sr Tl,10.215147
344,Ba Ca Cu La Ni O,11.067754
3656,Pt,6.3866453
2750,Ag S Se Sn,8.11454
1014,Ta Ti V,9.290614
2028,Ge La Pd,8.354591
3175,Ir Pt Rh,7.595131
2893,Hf Os,4.454168
2034,Si,7.6897087
1640,Ce Cu Gd Nb O Ru Sr,8.699056
541,Ga Ir Mo Pb S,7.8160524
23,Gd In La,6.474862
2874,Ba Cu Gd O Pb Sr,9.410424
1024,Al Ca Fe O P,9.9745655
402,Ce Cu Gd Mo O Ru Sr,8.813085
1013,As La,8.194935
2269,O Ru Sr Ti,9.710154
4199,Pt Rh,6.5952563
1903,Ce Cu Eu Nb O Sr,8.438134
315,Ba Cu Eu Ni O Pr,10.3584385
229,Bi Ca Cu O Sr Y Zn,10.831785
3165,As Ba Pt,9.503816
355,Cu Hg La O Sr,10.285753
3570,Ca Cu La O Y,9.389522
1448,As Nb Sn,9.1929865
1195,Hf Si,6.2379484
761,S Y,8.00447
4190,Au Th,6.378157
1050,Pb Pd Tl,7.9156704
252,Cu Fe K Se,6.4062777
590,Ce Co Cu La O,8.859302
68,B La Pd,10.143148
182,Cd Ce Cu Eu O Pb Sr,7.6025696
4041,Ba Pb Sr,8.861755
1325,Bi Ca Cu La O,8.862049
1430,Ca Cu Gd O Ru Sr,9.712516
544,Bi Ca Cu Gd Li O Sr,9.884307
695,Ir Rh Ru,6.8702507
3766,Mn Ru,5.857467
4100,Bi Er Pd,9.442215
66,Cu Mo O Sr W Y,9.12246
2181,Be Co,5.7470527
1980,Lu Rh Sb,7.177241
1003,Hg In Pb Sm,6.9929347
1494,Nb Si Ti,6.8673835
687,B C Ce Co,8.537117
394,Al As Ca Fe O Ti,10.816532
77,Co H Na O,10.21613
3755,Bi Mn,6.0944552
3941,B C Ni Pr,10.773044
3301,C Er,5.4877687
2986,As Ca Ce Fe Pt,10.82245
1647,Os P Sr,8.611844
1153,Mo Pb Se Yb,6.972133
1170,Nb Pb Se,6.296753
2100,As Ca Fe Mg O Ti,10.934506
150,Ce Cu Gd Hg O Re Sr,7.4412713
851,Ag Ba Si,5.587395
1276,Ca Nd Ni O,10.673963
247,La Th,5.293204
2038,As C Nb,6.8215437
273,Ge Hf V,7.466635
2630,Cu Fe H La O Sr,11.571084
1822,B Ce Y,9.06486
735,Ba O Rb Sb Ti,10.646964
4096,Ce Co Ge,9.164373
3355,B Si,8.610439
1654,Fe Ge Tb,9.065909
1423,O W,9.343414
1047,Bi Ca Cu O Sr Yb,10.321837
4104,Ru Sb,5.3019204
181,Al B Mg,9.372245
1916,Pd Rh Zr,9.283404
3007,Au Pb,6.707117
2903,I Li N Zr,8.761241
606,Cu Dy La Mn O Sr,9.945973
1810,Al Ti,9.161232
241,C La Ni Th,10.224971
1965,Ca Cu Nd O Pb Sr Tl,10.502937
3940,B Nb Si Ti,7.5949264
3815,V,4.7669864
3685,Ir P Sc,6.3280573
3665,Os Sn Y,7.5809126
3232,Fe Nb Si,9.088323
14,Ba Cu Nd O,8.282313
318,Ba Nb O Ti,7.8045774
774,Ge U,7.6785455
3064,Rh Sn Sr,9.656389
3587,Fe Ge Pr,10.15849
1326,B Ca Rh,9.114301
891,Al Cr Fe,8.238571
3154,Ca Cu Mo O Sr Y,9.539695
582,Nb Sn Zr,8.672893
1382,Ru Si Y,7.6858706
148,Au Ge Yb,10.318104
3804,Pt Sb Se,6.7767143
3559,Ba Bi K Pb,7.5049367
3093,Cd O Os,9.449842
832,Ru Zr,5.23256
365,Mo Se Tb,6.7245483
139,Cu Dy O Re Sr,7.4169526
114,Bi Ca Cu O Sr Zn,10.928523
3471,Ag Pb S,6.672447
614,Ba Cu O Pr Sr Tm,10.059242
485,As Ca Fe Nd,10.811162
908,Cu La Li O Sr,10.707858
251,Nb Nd O Sr,9.245239
134,Cd Cu O Pb Sr Y,9.487268
1124,Ge Ni V,9.964987
537,B C Ho Lu Ni,10.581394
4098,C Cs K,6.8844013
296,Ca Cu In O Pb Sr Y,10.178757
1845,Ce Ge Ir,7.878518
410,Ba Cu Hg O W,7.4297214
2504,Ga Nb Sn Tl,9.591015
1909,Ca Cu Gd O,8.109202
3718,Bi Cu Te,7.6844225
323,Gd La Ru,4.1284113
1105,Al Ca Si,8.718751
2153,Ba Cu O Sr Ti Y,10.123708
259,F Hg Ta,9.489253
3303,H N O W,9.414545
1218,Mo Pt Re,8.266777
311,Ba Bi O Rh,10.055475
1198,Cu La Nd O Zn,9.272769
4176,Ir Pr Si,8.125995
4043,Fe O P Sm,9.82255
17,Cu La O V,9.553204
1312,B Eu Ru Th,6.8969035
3806,Nd Ni O,10.168208
2072,Rh Sb Y,8.468423
1144,Ba Cs Cu O Y,9.00995
1454,Rh Si Tm,6.9597325
261,Au Ge La Pt,9.375629
394,Ba C Ca Cu O Pr Sr,10.017116
585,Ba Cu O Th Y,8.768798
2508,As P,8.579861
63,Ba Cu Nd Ni O,10.284358
1783,As Ba Ru,8.381329
2258,Pb Pt,5.4548416
2691,Rh Th,6.8208694
2607,Pb Pd,6.02999
386,Nb U,4.1534524
2424,Rh V,7.3362236
22,Mo Nd O,9.87173
4155,Na Te,6.217885
3904,Ir O Zr,7.8895116
3660,Ba Ca Cu Eu O,8.60179
468,Nd Os Sb,4.7667446
3853,Ce Cu Hg Ho O Sr,8.018253
630,Ba Ca Cu O Sr Yb,10.5455675
517,Bi Ce F O S,10.731682
2644,Co La Ru Sn,8.696029
77,Ag Mo Pb S,7.1838427
3309,Ge Os Th,4.985727
504,As Ba Cu Fe K,10.066943
569,Re Ta,8.511577
635,Ba Ca Cu Gd Mo O,7.360332
694,K S Ta,7.757476
443,B Ru Y,7.992011
3517,Ir Os Ru,4.239443
3455,Bi Mo,7.155696
3516,B Ru Th Yb,7.9203777
2985,La N,4.3121734
3058,Ca Cu O Pb Pr Sr,8.933322
399,Ba Ca Cu La Nd O Zn,10.812712
166,Cd In,7.8318777
1272,As Dy F Fe O,10.010817
1583,Hg Mg,6.541355
169,Ba Co Cu O Sr Y,9.775226
2912,Ba Cu O Sr Tm,10.416527
2878,C Sm,5.291873
1172,Hf Ta V,8.680009
2350,Cu Eu Nb O Ru Sr,9.53871
