,phases,ranking
3352,Re Ru Si U,8.896741
198,Cu Hg Nd O Sr V,9.760016
1179,B Dy Lu Ru,6.687002
3458,Pb S Te,6.3038783
3683,Be Re Ru,7.2669744
2265,As Fe La Ni O,10.837024
2851,In Nb,7.557372
2470,Bi Zr,5.2089577
618,B Ru,7.0904675
732,Ba Cu La Nd O Sr,11.049883
461,Ce La Ni,8.78847
3715,B Ba C Ca Cu O Sr,10.641864
569,Bi Ca Cu Dy La O,8.36837
4161,Cu La Sb,6.842949
416,Ho Mo S Tb,7.981781
3658,Ba K O Pb,8.844158
1888,Rh Sn Y,9.001603
2749,As Eu Fe K Ni,10.675007
360,Fe Ga,8.692996
858,Ir Pt Te,7.414025
625,Ba Cu Eu O Pr,7.433891
183,Ga La Ni,10.253694
2152,Ba Cu O Rb Y,10.0188
1539,Ir Mo Nb Pt,5.263949
3126,Ho Rh Si,6.908234
1450,B Rh Tb,8.001009
2984,Ga H V,9.741239
787,Fe P Ru Zr,7.8147845
1946,Cl Hf N Na,8.455601
742,Br C Cl Y,8.843802
189,Ba Cu Er O,7.2142797
2573,Ga V Zn,8.63167
621,C Co Sc,6.2531276
1431,Pt Sn,7.202298
2240,N S,6.576265
1936,Ag Ce Sb,6.323585
1841,Nb Si Sn,7.6611056
2359,Li Mo S,8.6131315
2906,Bi Ce Ni,8.222793
509,Ta,5.1938324
991,Ce F Fe O P,10.472142
2020,Hf K,4.1264467
1099,B C La Pt,9.348123
1622,Fe Se Sn,8.272271
1371,Fe K S Se,8.931368
513,Cr In,9.211405
1729,Hf P Ru,6.559509
2030,Mo W,5.0574117
1228,H Nb Pd,9.827961
785,In Se Sn Te,9.372989
3816,Lu Te,5.1683297
2936,Fe S Ta,9.48389
2005,Ho Os Sn,6.520569
1714,Bi Rh Se,6.1572165
2660,Ba Ca O Sr Yb,10.546309
488,Cl Eu H Hf N,9.292737
718,Ge Zr,5.8709598
775,Cu Eu O Ru Sn Sr,10.808631
1636,Cu O Yb,7.9157534
963,Nb Sn Ta,9.121737
2792,Ba Ca Cu O,8.872973
97,Ba Cu La O Pr,8.821434
2102,Cu Ga O Sr Y,9.941237
3251,Os Si Th,6.055928
416,Ba Ca Cd Cu La O,10.467567
1271,Mn Ni U,8.570155
2384,Cu Te Zr,9.535209
28,Nb Sn V,9.114973
214,Nb Pd W,7.689107
3400,Bi Cs O Pb Sr,10.657159
310,Be W,4.681936
3901,B C Ce Os,8.306997
2290,B C Ce Ir,7.6801214
2757,As Cu,8.535814
59,Ba Ca Cu Fe O Y,8.782853
3691,C H Na,7.518746
2375,La P Rh,6.831439
2291,B C La Ni Th,11.095446
376,B Cu Mg,8.323194
646,B C Dy Ni,10.296131
224,Cu Er Mo O Sr,8.380664
430,Ca Mo Se,6.432927
1070,Cd Mo S,7.690138
1123,La Se Y,7.4630694
1306,Si Ti V,8.167501
4118,Rb S Ta,8.877233
114,Rh Si Zr,7.01508
2732,C Yb,5.1902924
2257,Cr Cu Rh S,8.520433
2770,Cu Gd O Sr Tl,10.081686
1966,As Ba Cs Fe,9.672619
383,Ba Cu Er Eu O Pr,8.057479
2687,Hf Ru,3.9926975
1405,Bi C Cu O Sr,8.887042
1881,Ir P,6.4302554
489,Bi Cu Nd O Sr,9.401535
3174,Cu H Pd,11.864859
1730,B V Zr,8.87583
74,Ge Ir Yb,8.7707615
696,C Hf Mo,6.6567307
79,B Lu Rh Th Y,9.4981575
1813,C Si Y,8.890293
90,Bi Sn,7.7578373
463,Ca Cu La Ni O,10.831418
2847,La Ni O P,9.4114895
1353,As F Fe O P Sm,10.599153
3798,B Pr,8.270369
1149,Cu O Sr Ti Y,9.945589
46,H Li Pd,10.351292
484,As F Fe O Sm Y,10.147584
3933,Al V Y,8.989919
3119,Co Th,6.6736474
606,Ge Ir Y,8.089694
2921,As Ca Fe Rb,11.504241
235,Ba Ca Cu O Tl,9.944206
4198,Os Sc,5.0923085
1565,Ir S,7.7806277
2406,Ge Ti,7.373294
1592,Pb Zr,4.8739104
3725,K La Nb O,9.628779
2556,Co Ni Ta,9.021341
612,Cu Er O Sr,8.477491
727,La Os P,7.6649795
3969,Ni O Pr,9.575566
1614,B Ir Rh Sc Y,7.2433558
2040,B Ir La,8.603004
2476,Mo Nb Re,8.396779
3432,Cu Rh Ti,9.393317
1368,Ga Mn Nb,8.170505
40,Ba Cu O Pr Sr Y,10.014516
3613,Bi Ni Y,8.073061
3348,Ba Ca Cu O Sm Zn,10.416864
274,Ba Ca Cu O S,8.950962
9,Be Pb,5.8324814
439,Al Mg Si,8.2059965
2146,Lu Os Sn,5.8454895
3858,Sn Zr,8.341656
2574,Co Nb Rh,9.076482
2841,Pd W,8.328195
523,Mn Re,7.2927003
3345,Pb Pd Tb,6.3183994
1567,Be Si V,7.9856033
238,Mo S Sb,7.505291
1219,Ag Al,7.5417695
3382,Re U,7.853714
553,P Pd Pt Sr,11.002269
1388,Pt Si Ta,6.289169
3286,In Sb,7.8641515
395,Ga N,6.6246066
495,Hg In,7.262966
1646,Ti V Zr,9.584688
2625,Ho Os P,7.126293
2393,Ce Co In Ni,9.364987
1866,Nb Rh Ta,8.889485
472,C Hg Rb,7.201249
321,Cu Dy Mo O Sr,8.308287
2858,Ce Co Ni,8.289856
626,Ba Cu La O Th,9.353519
2523,F Fe O P Pr,10.445448
3823,C H Rb,8.915024
2712,Cr,4.9453135
3450,B Si V,8.0129
763,Ir La Pr Zn,9.096233
1869,Sn Te,7.552929
279,Ce Ni Pt Si,9.252374
1682,Fe P,6.005109
156,Cu V,8.662393
906,Ba Cu Hg O Tl,9.268654
3993,Ce Cu Mo O Sr Tb,8.516407
3579,Ba C K,7.849773
677,Ba Ca Cu O Pb Sr Y,10.190047
2234,Sb Sn Sr,9.246712
474,Nb S Y,8.017159
2482,Ba Na O Sb Ti,9.621497
3360,Fe Re,9.980866
3897,Lu S,7.777115
2357,O Tl,8.671063
3051,C I Y,8.156953
1768,Bi Ca Cu O Sr Tm,10.025352
3372,Pd Se Te,7.8190947
955,Mo Se Tl,4.891847
149,Ce Cu Gd Hg O Sr Ti,8.132502
156,Rb Te Zr,8.0344925
2339,Au C Y,8.151832
2937,Ni O P Sc Sr,10.463703
4154,Ca O Ti,9.447145
101,Ba Ca Cu La Na O,9.326392
1679,As Ce F Fe O,10.161383
1812,Ge Th,7.239169
26,H Nb Se,8.493598
2620,Au Ta,6.1499047
271,As F Fe La O Sm,10.12636
3178,Ba Cu Hg O V,9.616395
547,B Ir Pm Rh,7.833715
1757,Cu Pb,6.3538594
3396,As Fe O Pr Sr Zn,10.728455
2748,Mn Sb,6.941238
951,Au Nb Rh,7.6328683
3682,Mo Ni,8.4321995
2527,Bi F S Sr,10.677725
2866,Cu Gd Li O Ru Sr,10.649799
1462,P Rh Ru,7.3426886
545,Bi Ca Cu I O Sr,9.891253
922,Ba Ca Cu Hg O Pb,7.6690745
370,H Pd Rh,10.948405
2304,Mo Pd,6.2058296
4165,B Mo P Re,7.1810846
3558,Rh S,7.572211
2226,Ni S Ta,9.324073
2598,B,7.8242254
816,C Hf Zr,7.9188123
2628,B C Cu Y,8.999672
1626,B Mo Zr,7.3046145
3501,La Os Sb,6.1129866
2600,Cu Ni Zr,10.421221
1597,Cu Sn,8.042048
1877,Mo Ta Te,6.2851515
1807,H Na O S Sb Ta,10.308398
1720,Mn O,9.471407
3824,B C Ce Pd,9.238675
3284,Bi Nb S,8.772865
2450,Bi Co Sc,6.946955
1447,Al B Nb,8.754185
2965,Co Ge La,8.515905
1638,Au In Y,9.316265
3633,B Os Tb,7.1887727
3415,Cu La Si,8.153663
3981,B Ce Ir,7.514121
1268,Al Ge U,8.384296
2062,Ba Cu Eu Fe O Sr,10.002677
1681,Fe Ge Lu,10.424898
2897,Ge Pt U,8.087438
3767,Pd,7.53456
608,Bi S Ta,8.924086
2377,Al C Mo,8.714184
2355,Bi O S Se,10.268691
406,Ni Si Sr,10.019832
730,Dy Ge Os Y,7.873698
104,B Rh Ru Tm,6.6946483
3739,Fe P Tb,5.7840915
3108,Ru Sn Y,8.220718
290,Au La Sn,6.7633686
2806,O,9.412427
3491,Be Tc,5.010896
3990,Mg Ni Si,8.645241
377,Ba Ca Cu La Mo Nd O,9.383245
2933,Ce Ru,4.2727847
431,Ca Cl Cu O,9.371272
1922,Bi Se Ta,6.69808
1804,Ca Cu F O Sr,11.003528
470,Ba Ca Cu La Nd O,10.15014
617,Ca Cu Ho O P Sr,9.831321
4001,Nb Zn,6.8763814
1168,Be Re,7.3636603
1658,La Rh Si,7.017394
159,As Co Fe O P Pr,10.939293
498,Gd La Mo Se,6.5728626
433,Co V,6.9335504
519,Fe Lu Mn Si,8.550777
1455,Cs Fe Se,7.7120233
2666,B Tb Y,8.734965
783,Ba Cu Hg O Re,7.8817425
1534,Mn U,5.284674
2839,Ce Cu Gd La O,7.711828
1266,Ir Ru,5.0269804
1766,As Fe H La,9.288857
1641,N Ti,6.375495
784,Ce Ir Si,7.725082
1585,Al Ga Pd U,10.120963
3067,Ni Te,9.00532
1338,As Ba Fe Ir,9.135787
333,C Nd Th,5.49892
3407,C H K N Na,9.841388
3366,B N Nb,7.2544746
4065,W,6.24429
1557,Bi La Ni,9.372145
182,Cu S Ta,7.960697
336,Mo Se Sm,6.493178
104,Al Ni Ti,10.452026
92,B C Mn Ni Y,10.82731
2007,Ge Rh Y,8.933972
1604,Ba Ca Cu Hg O W,8.919197
385,Bi Pb,6.9801164
1743,Ir Lu Rh Si,7.718118
1092,Be Pt,4.502984
3763,Ba Cu O Pb Pr Sr,9.526844
1442,As Ca F Fe H,10.412828
4057,Ga V Zr,8.841822
3536,As Ir La,8.8442335
2310,B La Ru,7.7975264
4023,Ir Pr Zn,7.291876
372,Ba Cu O Pr Tl,9.344573
191,Co In Pu,8.879126
1711,Sn Y,7.745941
935,Al Ni U,9.4725485
529,Ba Bi K O Pr,10.201531
1292,Fe Ga Nb,8.6381645
2031,Ir Lu Si,7.7577987
390,Ca Cu O Pb Sr Y Zn,10.440435
603,Co H Na O Sr,10.588496
289,Cu Nd O,9.468652
2840,Al C Ti,9.2209215
397,Cu Nd O Pb Sr Tl,9.94918
1832,Ca Co Cu O Pb Sr Tl,10.139856
3591,Al Zn,8.983572
3391,I Mo Se,6.51986
511,Al Nb Sn,9.343913
3214,Ce Pt,6.001616
2976,Ba La Nd O,8.494158
1649,As Hf,8.048552
322,Eu In Rh,8.734963
3476,Mo Re Se,7.114095
3899,Ba C H,9.75697
723,Ca Ce Cu O Sr Tl,10.366781
48,C Mo W,6.7067647
8,U Zr,4.5309057
3336,Fe Si Tb,8.849753
2044,As Ca Fe Pt Tm,10.83556
121,In Pb Sn Te,9.118108
105,B Dy Rh Ru,7.5095105
2510,Bi Pd Se,7.402644
3179,Co Ga Pu Rh,8.537273
2333,Ge Nd Pt,8.669069
1081,Ce Cu Gd O Sm,8.489713
1174,C Ti Y,7.487497
3562,Ba Hg,5.3631973
997,B Er Ir,8.002142
1072,Ba Cu O Tm Y,8.708633
2177,Sb Yb,5.4669423
2095,B Co Lu,9.688574
1726,Fe Rb Se,8.575455
2678,Si Sr,5.7934275
1156,Al Be Nb,8.624802
254,Hg Mo Se,6.7459393
2069,As Fe H O Sm,10.109191
2596,Mo Pa,4.8588395
3219,C Li,6.84938
205,Na Nb O,10.273305
3593,Hf Nb Ti Zr,9.353191
1840,Cu Gd O,8.358112
409,Bi Ca Cu La O Sr Y,10.061522
570,Bi Ca Cu La O Tb,9.13477
3871,B Pt,8.3452425
2360,Ce Co In Ir,8.553464
1293,Pt Si Sm,8.231079
3242,Te V,6.5959277
446,As Ce F Fe O P,10.383997
2024,Nb Pd S,8.141518
551,As Ba Co Fe,9.562458
3385,Fe S,9.262821
3571,Re Si Ta,8.355557
1344,Ce Ga V,7.0027633
3230,Co Ga Pu U,7.734356
3968,Fe Np,7.4744225
472,P Ru W,6.15043
1086,Ba C Ca Cu O,9.554343
2318,S Sb,6.9207306
1897,Dy Fe Lu Si,9.332416
21,B C Ce Ni Y,9.75258
3832,La Te Y,5.960489
3444,C Ir Mo,6.7904854
1376,Ce Ru Y,7.065416
1037,Cr Cu O Sr Y,9.983741
56,Co Ga Mn Sn,9.75038
1203,Ba Cu Lu O Pr,7.3880644
3319,C Ti W,5.625234
3127,As Fe K,10.362845
183,Cd Ce Cu O Pb Sm Sr,8.387947
1491,Ba Ca Cu Fe O Tl,9.979769
4142,Ca Cu Gd O Pb Sr,8.651148
124,Ba Ca Co Cu Er O,9.709975
1795,Fe Ni P,8.650371
3610,La Ni Sb,9.075709
2227,Ge Ta,7.9855156
2669,B Ce La N Ni,9.312858
2107,C La Pb,5.5594473
1110,Pd Se Ti,8.077671
1570,Ir Nb,5.056521
451,Ir Zr,6.170769
3379,B Ti,7.86273
3096,Nb O Sr,9.277876
1217,Mo Os,4.142239
2503,Fe H Li O S Se,10.819428
329,B Ba Ca Cu La O,10.110316
3304,Ir Rh Se,4.3911605
4050,Ba Ge Na,6.962735
3159,As Ru Zr,7.9815254
1852,As Cs Fe Sr,10.172775
393,Ca Cr Cu O Sr Y,10.136803
599,Ca Cu Gd O Ru Sn Sr,10.5983925
1825,Fe La Ru Si,7.226236
3622,Bi Pr,8.193299
2657,Ba P Rh,7.6969953
1797,Ag Ge Pd Sr,9.488491
136,Cu Ho O Re Sr,7.597643
1737,Ga Ta V,9.110048
1758,Ca Pb,6.725831
2089,Eu Ga Ge,8.239559
553,Mo Pr S Sn,8.564835
153,Cu O Sr Y,9.3879
627,Mo Pb Se,6.5504346
1243,B Nb Y,8.830704
1591,Mo Nd S,8.316335
142,Al Hf Nb,8.927925
2651,Nb Re Ta,9.229193
3092,Ca Cl Cu O Y,10.048215
2001,Ge Hf,5.936953
1683,Al Nb Si,8.857671
499,Bi Cu Li O Sr,9.75287
943,C,5.397767
237,B Sc Zr,7.7642717
2786,Al Ba Cu La O Ti,10.747498
2217,B Er Ir Rh,8.130936
2743,In Pr,7.755834
3425,As Ca Fe P,9.9925785
2219,Cu O Sm Sr,8.526649
1224,Al C Ni,10.009452
486,Cl H Hf N Yb,9.64105
1018,Cu La Na O,8.857698
2908,Cl N Zr,8.609936
306,Bi Pd Te,9.287279
364,Ho Mo Se,6.571859
1348,Ba Cu Ga Nd O,8.986907
507,Ce In Ir Rh,8.373558
3268,Ru Te,4.2300196
4117,Th Tl,6.286157
548,B Ir Rh Sm,7.950071
2509,Al C Cr,8.643556
2155,B Mg Zr,8.655306
3023,C Hf Ti,6.710482
70,As Ti,8.76217
1629,As Co Fe O Sm,11.56
1303,Ba Cu Er Hf O,8.314903
1719,C Cs Rb,7.7191978
4152,As Ru Ti,9.093656
1976,Ir Sn,6.869877
153,Ba Ca Cu O Pb Sr Tl,10.737842
576,B Ho Ru,5.986215
123,Ba Cu O Pr Zn,9.304357
3249,Hf N,5.3075852
2,Ag,5.046299
1793,Bi C Cu O Pb Sr,8.389393
595,Rh Si Tb,7.300141
133,B C Ni Pr Y,10.536366
93,Ca Cu O Sr Tl,10.843204
2479,Rh Ti W,7.9106746
293,C Nb Si,6.9100194
1631,Cl Mo Te,7.646377
1910,Co Cu Ir S,9.179075
607,Bi Ce Cu O Pb Sm Sr,8.197882
2352,C Hg K,6.8004055
1618,Ca O Ru,9.684913
2003,C Mg Ni Ru,9.645013
1202,Bi Cu Se,6.5463967
3414,Cu F O Sr Y,10.802611
209,C Mg Mn Ni,9.959003
2379,Fe Zr,5.8668966
144,B Ca Pt,9.534148
2396,Co Rh Zr,8.243162
2656,Fe H Li O S,10.709306
2681,Au Cu,7.3446765
432,B C Cu O Sr,10.273045
3733,Ce Sn,6.763084
1740,Pd Sn Y Yb,9.353509
978,Be Os Re,5.5934052
1357,K Nb O Ta,10.698665
2541,Pd Ta Te,8.180333
3630,Bi Zn,8.183119
3315,Ba O Pb Sb,9.486819
1891,Bi F O S,10.6930485
484,Ga Sn V,9.189972
1862,Si Sn V,8.965879
3987,Ge Nd Pd,8.9990835
1600,Nd Pt Si,8.716489
3978,Bi Nb Sn Tl,9.087054
825,B Cu O Sr Y,9.309739
1136,As Ca Dy Fe Pt,10.716845
2927,C N Nb Ti,8.143479
2195,Al In Sn,9.946116
609,S Sc,6.5899262
3996,Re Se,6.7843494
3087,Be Cu Ni Ti Zr,10.800388
2890,Br Mo Te,6.594399
3854,Ir Rh Ti,8.332262
350,Au Cd,8.147445
20,La Tb,6.235685
3285,C Ru,4.8331375
3697,B C Pr Pt,8.1435795
2194,Ce In,7.887511
0,As Ba Fe K,9.787699
4111,In Nb Sb Sn,9.361657
3371,B C Ni Tm,10.629774
3916,Ge Rh Sc,6.3047605
2536,In Rh,8.718336
3464,Mo Sn,7.170688
3827,Ca Co Ge,10.2247505
4194,I Sn,7.715249
1,Ba Ca Cu La O,9.871589
317,Nb Ti Zr,7.1715255
437,Al Ni V,10.832469
335,B C Ca Cu O Sr,10.327831
3226,As Sb,6.9135265
1571,Rh Sr,8.005618
3735,Br N Zn Zr,9.267885
1142,Ba Ca Cu Hg O Pb Y,8.763282
2283,Cu Dy O,8.221517
3266,Cr U,6.184072
268,Ba Ce Cu Gd La O Sr,9.904019
2212,Cu Gd O Ru Sr,8.721877
3912,Cl Cu Nd O Sr,9.582091
3687,Hf Ni Sn,10.392587
2824,Mo V,5.1706324
398,Ag Ca Cu Mg O Pb Sr Y,10.769406
426,Ca Cu O Pb Sr Tl Zn,10.833868
990,Cr N Nb,7.5530434
1327,As Eu Fe Ir,9.638752
2449,Ba Ca Ce Cu O Y,8.895494
3887,Bi Ce Cu Nd O Sr,9.621218
181,Ca Co Cu O Sr Y,9.81273
3128,Bi Ca Co Cu O Sr,10.41138
2325,As Cd Ge,9.737591
411,S Sb Ta,8.315929
672,Ba Cu O Yb,7.540028
1150,Ba Si Sr,8.658988
3881,Ga Hf,5.744223
3077,Ce Cu O Re Sr Y,8.72588
4004,As Ca Cs Fe,11.609326
3520,Cu La O Sr V,10.85465
1126,Ca Cu Si,7.86565
939,Cu O Sr Tl Y,9.925595
634,Ba Cu Ga O Y,8.925255
2135,Al Gd Pd U,9.441044
219,Ba Ce Cu O Y,7.723004
3065,Ni S,9.282429
529,Ba Cu La Nb O W,9.00446
4031,Fe K Se Zn,8.325592
3000,Fe Si Yb,9.422781
168,Ba Ca Cu O Y Zn,10.011374
1062,Ba Ge,5.9696717
119,As Nb,8.25407
3703,Ga Mo Ti,6.9666038
4115,Hf Rh Ti,8.146591
2467,Au Sb Te,4.704083
2429,B Ru Sc Y,7.1596966
794,Al Nb Ti,9.814981
128,B C La Pd Th,9.847896
1981,Ca K Li Nb O,11.380957
1967,Hf P S,6.8560157
3869,Ba Cd Cu La O,9.522841
3529,Co Ga Mo,7.6944137
1556,Ga Y,8.370209
604,Ba Co H Na O,9.862068
1145,V Zr,7.852668
648,B Dy Ir Rh,7.49643
3276,Ba S Ta,6.7040496
2105,Ir Lu,6.037217
3695,Cu Ti,8.379484
4145,Be Th,4.590293
3,Sc,4.964656
2279,Hg O Re,10.279361
2053,Nb P Rh,7.043257
2050,As Th,7.5762477
1482,Ba Cu Er O Sr,10.415154
2464,Ca Nb O Sr,10.2568865
2096,As Fe Li Ni,11.366424
981,C Mo Si,8.175891
2526,N W,6.2383237
3256,Cu Hg La O Pb Sr,9.220041
3794,Ba Cu O S Tb,9.157123
1619,C Cs Na,7.344145
1489,Lu Pb Pd,6.9477124
1739,Ti Zr,6.992607
2822,As Ca Er Fe Pt,11.051875
3424,Ba Nb Se,7.4391394
3170,Ru U,3.745957
2224,Hf Nb Ti,7.814764
3376,B Co La Y,9.390404
2752,Ge Sn Tm,8.035918
2322,As F Fe Nd O Ru,10.662803
3863,K Sb,5.3812823
3741,Al Er,7.6077976
424,B C La Pt Th,9.603574
3888,Ni Zn,9.756176
637,Ge Ru Th,6.1609044
3011,As H Nd Ni O,11.488995
28,Ga Np,6.457515
2663,Ba Bi Ca Cu O Tl,10.289814
1277,Mo Se Sn,7.7073507
2156,Ni Sc Si,9.108059
938,B C Mo,8.542659
327,Fe K Mn Se,7.9818487
810,Ba Cu Lu O Pr Sr,9.700885
432,Nb Pb S Sb,6.963671
1867,Ba Cu Fe Ho O,6.4847074
314,Ba Cu Eu Mn O Pr,8.4574585
94,La Os Th,6.2636986
3053,Cu U,6.3562393
2313,Mo S Sn W,7.8851576
622,Ba Ca Cu Gd Hf O,9.646287
4072,B Dy Y,8.650898
418,B Rh Sm Y,8.347175
65,Ba Cu Gd O Zn,8.485918
2820,Cd Cu O Pb Sr Tb,8.591806
1336,Cu Rh Se Sn,9.144078
340,Ag Tl,6.5564446
1509,Co Rh Sn Tm,9.297821
328,Ba Cu Eu O,7.3368707
1082,Ba Cu Er Ga O,7.8753304
147,Ba Cu Er Fe O Zn,9.526197
1190,Ce Cu Eu Fe O Sr,8.594758
3060,Bi La Pb,5.54913
2140,Ca Ir Sn,7.868232
161,Mo N O,8.871057
1880,As Zn,8.557754
570,Cr Sb,6.804147
2855,C Fe,7.4650187
1505,Ba Nb S,6.582182
2690,Fe Ga Mo,8.050323
3644,Al Ge Y,7.8330946
12,Al Cu La,10.038636
1853,Mg Nb,7.607301
627,Cu Eu O Re Sr Tm,8.9472475
931,Ba Cu Gd O Pr,6.9815907
2091,In Ru,7.165851
3434,As Ca Cu F Fe,10.129069
1309,Fe Nb Ti,8.394267
6,Co Cu La O Sr,10.488613
2765,As Ba Fe K Ni,10.635614
44,C N Nb,6.885918
3734,Ba Ce Cu Dy O,6.330688
4174,Ru,4.0000653
1745,Ru Ti,5.6369514
3172,As Eu Fe Na P,9.306877
430,P S Zr,7.5020485
1551,Bi F Nd O S,10.809919
3907,B Ir Tb,7.8170996
1855,Cu Gd O Ru Sr Y,9.405651
117,Cu O Pb Sr Tl,10.248941
3906,Au Cu La,8.198068
165,Bi Ca Cu Nd O Pb Sr,9.743595
1176,As F Fe La O Sb,10.438844
1625,B Mo Nb,7.154872
1244,B Er Rh Y,8.564326
3795,Ce Co Ir Si,8.0757475
521,Ir Nd Si,8.42222
214,Ba Cu Gd O Pr Zn,8.856351
1809,As Fe Gd O Te,11.145962
1819,In Ni Ti,10.562884
1741,Co In,9.049695
2775,O Sr W,9.186481
809,Ce Cu Eu Gd O,7.8361197
3765,Au In Pd,9.782478
297,Ba Nd O Sr,9.554927
2085,As Fe Nd O Sr,10.984902
655,Nb Se,5.236731
2781,Ce Pd Si,7.993043
3958,C F P,9.895853
3813,S Ti,7.881666
3534,C In Y,8.644351
2638,H S Ta,7.612304
175,Ba Cu Hg O Sr Tl,11.002569
2328,B Pt U,8.046463
355,Bi Cu La O Pb Sr,9.061353
4047,Os Si Tm,7.0573173
2394,K Na,7.258403
4039,Ge Pd Rh Sr,9.992599
2664,In La Sn,8.6902
158,K Te Zr,7.8985987
2223,C Cs Na Rb,8.095953
1030,Gd Os P,5.847936
624,Bi Cu La O Pb Sr Zn,10.650101
1875,As Eu Fe Ni,10.46905
59,C Nb Ti,6.720149
3528,Pd Pt Te,9.235153
3535,In V,7.5339556
1608,Co Ge Yb,9.580319
2382,Ga Pr,7.3946223
716,Ca La Mn O,10.332349
2506,La Ru Sn,6.7592263
2162,Ni Sn V,10.541828
2166,Eu Gd Mo Pb S,7.784659
135,Cu Gd O Re Sr,8.011806
1996,Na Pb S Ta,7.7233677
3016,Nb Sc,3.454489
4144,Al Gd Rh,8.544364
670,Na Pb,5.437666
3667,Ce Ru Si,6.9607787
1689,Mg Y,8.158322
3842,Ca Mo S,8.064189
2505,Nb Rh Ti,7.848782
2025,Ba Cu La Nd O Pr,9.508031
1874,Fe La O P,9.325977
1185,Ga Hf V,8.605108
558,Gd Mo S Se Sn,8.498024
253,Cd Ce Co In,9.21237
2272,Ga Nd,7.723411
454,Mo Pb S Th,7.1790547
3809,Ca Pd,9.671729
2532,B Ba Cu La O,9.649069
679,Ba O W,7.225984
3852,Ba Cl Cu Na O,9.10085
2441,Ba Cu Eu O Ti,9.4159975
1193,Ba Cd Cu O Y,8.861999
421,Bi Cu I La O Sr,9.299731
522,Cr Nb,6.359286
528,Ca Cl Cu K O,10.170895
334,Ca Cu Ga Nd O Sr,10.028771
2819,Ce Sb,6.1568174
2471,Ce Ge Ni,8.625377
1204,Bi Cu O Pb Sr,7.6369224
3252,B Pd Y,10.093909
4137,Bi Ce Cu Er O Sr,8.201166
477,B Mg W,7.8352413
1476,Fe H Li Se,8.569654
1378,As Fe O Pr Sb Sr,10.296463
1090,Ba Cu Dy Ni O,9.725168
27,Pb Pr,6.903871
2236,S W,7.914821
3431,In Mo Te,6.854971
494,Be Ta,6.5771956
920,As Pt,8.635468
3378,Ba Ca Ce Cu Nd O Ti,9.54315
1993,Ba Cu F O Sr,11.342982
3609,Ba Ni P,10.060188
3118,Au B C Nd Pt,8.495162
1764,Ga Zr,6.4170218
1896,Cu Mo Se,6.350682
1586,Co Sc,5.1391315
413,Ce La P Ru,6.4908895
445,Cu Lu O Pb Sr,7.12503
638,B C Dy Ni Tb,10.559138
3814,As Zr,7.5750213
4014,Mo N,5.3342595
420,Be La U,3.7848759
958,La Ni Sn,10.437142
2559,Pb Pd Tm,5.9794116
3860,Cu F Gd O Sr,10.942168
881,Nb Ta Zr,8.049791
3346,As Tc,8.734235
1676,Fe Hf V,7.874523
2696,As Fe O P Pr Sr,10.352179
689,Re Zr,5.0999436
101,Ge V,6.576323
1674,Ag Ga,6.4375405
3308,Hf Ir,5.298749
3586,Fe P Pr,6.0471983
863,Cd V,6.481428
389,Ca Cu Ni O Pb Sr Y,11.322217
3137,Er Re,8.339366
912,Cu Dy O Ru Sr,8.495129
2557,As Ca Fe O Pr,11.503617
2812,As Fe Gd O Th,11.228436
2569,Tc Ti,6.978159
1561,Al Pb,7.2647314
1096,Cu F O Sr Yb,11.253933
216,Cu La O Sr,10.473052
3769,F O Sb Sr Ti,11.141113
1158,Al Li,8.911196
1480,Ca Cd Cu O Pb Sr Tb,9.729415
3742,Ba Cu Gd Ni O Y,9.675331
4191,Ir,5.976478
2614,La S,7.7646756
1612,Au Ga Mo,7.3599014
419,Al B Li Mg,10.205376
4073,As Fe Nd O Th,11.332919
248,Ce Cu O Pb Sm Sr,8.009716
2605,Ba Cl Cu Nb O Pb,9.606044
3141,Bi Pt Se,6.672354
2935,Ce Ge Pd,9.326037
3459,Nb Pd Sb,7.7011094
429,H Pd Pt,11.398357
353,Ba Cu Gd Nd O Sr,10.104909
2103,Ca Cu La O Sr Y,10.137877
581,B Er Ru,6.601449
184,Rh Y,8.049699
1402,Co Ga Zr,7.37219
2988,Ca Cl Cu Eu O Sr,10.914593
1717,Au Zn,7.785869
4132,Ba P W,7.8238044
2436,Bi Ca Cu Er O Sr,9.87656
1700,Ba Cu Nd O S,9.1726265
1438,Au In Pd Y,10.445443
2565,Er Th,4.9263053
462,Ag Cu La O Sr,10.649369
649,Rh Ti,7.2338095
1944,As Fe O Sm Th,11.393719
2405,B Nd Ru,7.613993
579,Ba Cu Gd O,6.253359
451,Ce H Th,8.696848
1894,Cu Te,8.259239
452,Be Nb,5.006968
151,Pt V,7.072747
1329,La Pb Rh,4.120893
1225,Bi Pb Tl,7.257193
3946,As Ge,9.779788
99,Ba Cu La O Y,8.98876
414,As Ba Fe K Sn,9.834269
3637,As Hf Os,7.822215
456,Mo S Sn Y,8.859735
131,As Co Eu Fe Sr,9.605316
4164,Al Sn,9.624315
490,As Ba Fe Ni,10.439845
3648,Al As Ga Nb,10.627097
3223,O Sn W,10.232054
3439,Er Ni,9.196634
371,Cu La O Sr Yb,10.064802
601,Co H Mg Na O,10.073548
3980,Os Rh Ti,6.2554426
957,As Ba Cu Fe,9.587327
541,Ca Cu Fe Hg O Sr Y,8.706852
426,Eu La Mo S,8.288732
