phases,max energy gap,n compositions
O P Si Y Zr,4.4,1
Dy O P Si Zr,4.7,1
O P Si Yb Zr,4.4,1
Mg Mn O Zn,3.7,1
Al H K Mg O Si,4.9,2
Ga H K Mg O Si,4.5,1
Ca Cu H K O S,4.2,1
D0+ F Mg O Si,4.2,1
C H N S Zn,4.5,2
Al F K Li Mg O Si,4.4,1
Br H N Pt,6.1,1
Be F Li Zr,5.6,1
B C Cs F N O,5.9,1
B C Cs F H O,5.8,1
C F H Lu O S,5.2,1
C F H La O S,5.4,1
C F Gd H O S,5.5,1
C F H O S Y,4.8,1
C F H O Pr S,6.3,1
C Ce F H O S,6.3,1
C Dy F H O S,5.5,1
C F H O S Tm,5.0,1
C F H O S Yb,5.4,1
C Er F H O S,5.4,1
Ca Ce F Na Nd Y,4.8,1
H I P,5.2,1
Br H Mn O,6.1,3
Au C Co K N,3.6,1
Bi Cl Co H N,4.8,1
K Mg O Ti,4.8,2
F H Mn Na O Si Ti Zr,3.8,1
Ca H O Si Zn,3.0,1
Al B Fe O Si,4.7,1
Cd Na O Si Zn,3.7,1
Cd Na O Si,4.7,2
Cd H Li Mo O,5.1,1
K Mn O Si Zn,4.6,1
Ca Ce H Na O Si Ti,4.2,1
Na O Si Ti Zn,4.0,1
Be Ge Na O,5.0,1
B H Mg O S,5.1,1
Cd Ge H Li O,4.5,1
Ca F K Li O Si Ti,4.8,1
H Na Nd O Si,4.3,1
C Cl Fe H Li O,5.1,1
C F Mo Se,5.6,1
C H N O Os,4.5,3
C F H N O Os S,4.4,1
B Ca Mn O,4.4,1
Be Ca Na O Sb,3.8,1
H I K N O,5.3,1
Ca Ge H O,4.9,2
Fe Ge La O Sr,4.3,1
Fe Ge Nd O Sr,3.8,1
Fe Ge O Pr Sr,4.2,1
Ba Fe Ge La O,3.7,1
H In Na O S,4.8,1
Mn Na O Si Ti,4.2,1
H K O Sc Si,4.0,1
Be K O Si Zn,4.7,1
F Ge H O Yb,4.8,1
C Cl H N Rh S,5.2,1
Er F Ge H O,4.5,1
Ca Na O Si Zr,3.9,1
Cl Cu F,6.0,1
B Ca Fe Mg O,4.8,1
Al B Cl H K O Si,5.1,1
Co Ho K O Si,4.5,1
Na O Si Sn,4.4,2
Cu K Mo O,4.5,2
H K O Si Yb,4.4,1
Cl H Na O Si Zr,5.5,1
Cr H Li O P,5.1,1
Cs Nb O P,4.8,1
C Cl Co Cr H N O,4.6,1
Eu H N O P W,4.8,1
H Na O Ru,3.8,1
Al Eu H O P W,4.8,1
Cs Eu H O P W,4.5,1
Ag Cs Mo Se,4.1,1
Ag Cl Mo Se,3.5,1
Br I P Sn,5.0,1
C Mo N Na Se,4.6,1
As Ca H N S,4.5,1
B Ba O Sm,4.2,1
B Ba Eu O,4.4,1
B Ba Dy O,4.6,1
B Ba O Yb,4.4,1
Br C Cu H K N O,3.3,1
C Cu H I N O,5.1,2
Br C Cs Cu N,3.8,1
C Gd H K O,5.0,1
C H K O Y,4.1,1
C Er H K O,5.0,1
Ni Te Y,4.7,1
Co Te Y,4.3,1
Cs Gd Mn Se,4.4,1
Cs Mn Se Sm,4.7,1
Cs Ho Mn Se,4.9,2
Cs Mn Se Tb,4.7,1
Cs Dy Mn Se,4.8,1
Cs Mn Se Y,4.9,1
Rb Te Yb Zn,4.4,1
Cs Te Yb Zn,5.5,1
As F Mg Xe,6.1,1
Al O Y Yb,4.3,1
Ag C Cr H O,4.6,1
Rh Sc Te,4.7,1
Bi Sc Te,4.0,1
Ru Sc Te,4.4,1
Ir Sc Te,4.5,1
C Eu I Li N,5.8,1
Lu Ni Te,3.9,1
Cd Na Tl,4.6,1
Lu Pd Te,4.1,1
Lu Ru Te,3.3,1
As K Pb,5.1,1
Ge K Se Sm,4.8,1
Au Ba Tl,3.8,2
Ge Rb Se Sm,4.4,1
Cs Ge Se Sm,4.5,1
Cs P S Ta,4.5,2
Cs O P Pd,4.9,1
As Cs O Pd,4.5,1
Ba Na Pb,4.4,1
Nb O Pb Te,5.0,1
O Pb Ta Te,4.7,1
Ba Na Sn,3.9,1
B Ge H K O,5.2,2
Ba Nb O P Te,4.8,1
Cl Cs Cu Ge H Na O W,4.8,1
Ge H Na O W Zn,4.4,1
Ca In Li,3.9,1
Ba C Ca Ce O P Sr,5.5,1
Al Ca Cl F H O S,5.2,1
Cl F H O Pb,5.1,1
Al C H O Pb,5.1,1
Al Eu O Si,4.2,1
C H Na O P Zr,4.5,1
Cl H Li O Ru,5.4,1
Se Sr Ti,3.7,1
Cl H Na O Tl,4.4,1
Ba Nb O Sc Ti,4.5,1
Cd Cs F Ni,5.3,3
Ag Al Mg O,4.6,1
Al K Mg O,4.7,1
Al Na O Zn,4.4,1
Cl Fe H Mg O,1.9,1
H K Mn Na O W,3.8,1
As Ba Fe H O Sb,4.7,1
B H N O P V,4.9,2
Ga Na Zn,3.2,1
B Ga H O P,5.1,1
Bi Cs Se Zn,4.4,1
As Mg Na O,4.7,1
Cu Eu S Tb,4.3,1
Cu Eu Gd S,4.7,1
Cu Eu S Y,3.8,1
Cu Dy Eu S,4.2,1
Cu Eu S Tm,4.7,1
Ba Ir O Sm,4.5,1
Br H N O Ru,5.2,2
H La Mo O Pt,5.0,1
H Na O Pt W,5.1,3
Cs Hf P S,5.0,1
H Li N O V,4.7,1
Fe Mn Nd Sn,4.0,1
Ba Bi Nb O Pb,4.6,2
Ga Nd O Sm,4.5,1
Ca Cu H O P U,4.4,1
C Cl H Mo N,5.3,2
Bi Cu O Sb,5.3,1
Ge Pr Ti,3.7,1
Ge La Ti,3.5,1
H Na O Rh,1.9,1
Co H K O,4.0,1
Ge Yb Zn,3.4,1
Cu Dy Mn O,3.3,1
F Li Lu,5.8,1
Cu Mn O Tm,3.4,1
Cu Ho Mn O,3.3,1
Cu Mn O Yb,3.4,1
C N Pt Rb,4.0,1
Bi Cl I O,5.7,1
Ho Mg Tl,3.4,1
Er Mg Tl,3.4,1
Mg Tl Y,3.6,1
Mg Tl Tm,3.4,1
Lu Mg Tl,3.5,1
La Mg Tl,3.6,1
Mg Sm Tl,3.4,1
Ce Mg Tl,3.6,1
Mg Pr Tl,3.5,1
Dy Mg Tl,3.7,1
O Rb Ru,4.5,1
H O Se U Zn,5.7,3
Cd La Ni,4.6,2
Cd Ni Pr,3.6,1
Cd Ni Sm,3.8,1
Cd Ni Tb,3.2,1
B C Cl La,5.3,2
Ca Mn O Zr,3.6,1
B F Fe N O,4.5,1
F Fe N O P,5.0,1
Cl Li Tm,5.7,1
C Cd K N,2.9,1
Ba F Ge,5.7,1
Cl Cs Ge,6.1,1
K Li O Sb,5.2,3
Ba Cl O Re Sr,4.7,2
Ba K Nb O U,3.9,1
Ba Ca Cl O Re,4.3,1
Ba Ca K O U,6.3,1
B Co Ni Y,3.7,1
Al Ce Fe La Mn Nd Ni Pr,3.6,1
Al Ce La Mn Nd Ni Pr,3.7,1
Ge Si Yb,4.2,1
Al Au Zr,3.4,3
C H Mg O P,4.1,1
Cs N O Zr,4.6,1
C Co H N O Re Te,4.3,1
As Be Ca O Si Sn Ti,4.6,1
Br I Rb,6.0,1
N Si U,4.5,1
Nb Pd Si,3.4,1
C O Se,4.9,1
Cr H Hg O,5.0,1
Cs K O Pt S,4.7,1
Pr Pt Sn,4.4,2
Pt Sm Sn,4.0,1
Al Ba Pb,3.6,1
Ba Ga Pb,3.7,1
Al F H O Zn,5.1,1
F Ga H Mn O,5.5,1
Al F H Mn O,5.3,1
Al Cd F H O,5.8,1
F Ga H O Zn,5.5,1
Co Cr F H N,5.3,1
Al F H Mg O,4.8,1
Al F Mg Sr,4.6,1
Al F H Mg N,4.7,1
Al H K O,5.2,1
C Cr K N O,4.9,2
Cu H N,4.3,1
Ba K O S,4.4,1
C K N Ni,4.0,1
Cl O P Sn,5.6,1
Hg I Na O,4.9,1
F H In O,5.7,2
Cl In O,5.7,1
Ba H O S Se,4.5,2
C K N O V,4.6,1
Cr H Hf O,4.7,1
Ba H O S Te,4.7,1
H Hg Na O S,4.5,1
Ba N Sn,3.7,1
N Pb Sr,4.1,1
Ba N Pb,4.0,1
Cr Hf Ni Ti V,3.3,1
Ca Co O Pb Ti W,4.6,1
Mn O Pb Ti Zr,4.6,1
Ce Er O,4.7,2
C H Ti V,3.3,1
Ce Cu Eu La O Ru Sr,4.4,1
Ce Cu Eu O Ru Sn Sr,3.3,1
Cu Sb Sm,3.4,1
Cu Sb Tb,3.6,1
Cu Er Sb,3.9,1
H N O S Te,5.2,1
Br Cs Na U,5.5,1
Ba C Cl Fe H O Si,4.9,1
C H Li Np O,4.4,1
Cl H K Mn O,5.0,1
Cu Ta V,3.9,1
Al Cs N O,5.0,1
Fe O P Sb,5.7,1
Al Eu S,4.7,1
Al Eu Se,5.0,1
Ce La Nd Ni Pr,3.3,1
Ce La Nd Pr,4.3,1
Ca H K Na O Si Zr,4.4,1
Cr I K O,4.7,1
C H K N O V,3.8,1
H K Na O Te,5.4,3
C Ca H N Ni O,5.0,1
Al F Fe H K Mg O Si,4.0,1
Al F H K O Si,4.9,1
C H K N O Se,5.0,1
H O Rb S Te,5.6,1
As Fe P,3.1,1
As O W,4.8,1
Ag Ce Ge Si,4.2,1
F K Np,6.1,1
F K Pu,6.0,1
F Na Th,7.0,1
Cl Cs Mg,6.1,1
Cu F O W,5.4,1
Ge H Ho Na O,4.7,1
Br Cd I,3.2,1
Ba Bi O P,5.1,2
H Nb O Rb W,3.4,1
S Se Sm,4.1,1
Er K O P Ti,4.4,1
K O P Ti Yb,4.4,1
K O P Ti Y,4.4,1
B C Na O,4.6,1
B C K O,4.8,1
B C Li O,4.7,1
Ba Cl Cr O,4.4,1
B Co O Yb,4.3,1
Al Cs F Pd,6.0,1
Ba Cd Ir O,4.6,1
Ba Ir Mg O,4.1,2
Ba Ir O Zr,3.9,1
C N Si Y,3.8,1
Ge K Mg O,5.7,1
Cl D0+ Fe O,3.1,1
Cd Ge K O,4.0,1
Ce O Y Zr,4.6,1
Ge O Y Zr,4.2,1
Cs H Li O S,4.7,1
Br C Mg Na O,4.8,1
As H Mo Na O W,4.5,1
Ca Ga Gd O Zr,4.2,1
Co Cr In,3.5,1
N Sm Sn,4.3,1
Ce N Sn,4.9,1
Mn Pb Te,4.8,1
Ba Cu Fe Ho O,3.4,1
Ba Cu Fe O Tb,3.7,1
Ba Cu Fe O Yb,3.4,1
Ba Cu Fe La O Sr,4.1,1
C F Gd H O,4.8,1
K Na O U,5.0,2
Co Fe La O Pd,3.4,1
Co La O Pd,4.2,1
Co La Mn O Pd,4.0,1
Co O Pd Pr,4.0,1
Co Mn O Pr,4.0,2
Ba La N O Ti,4.0,1
Br In Li,5.4,1
Ba Na O Sm Ti,4.3,2
Co Fe O Sm Sr,3.6,1
Al Co Fe La Mn Ni,3.7,1
Ge K O Pb,4.9,1
Cs K O P Sc,4.5,1
Cs Ho K O P,5.0,1
Mg O Pb Te W,4.8,1
Bi H Na O W,5.0,1
Ba Ce La O Ti,4.2,1
Ca La Mn O V,3.4,1
Ce Hf O Zr,4.7,2
O Pb Pr Ti Zr,4.4,2
Cu H K O S Se,3.4,1
Cs D0+ Fe O P,3.7,1
H Li N P,4.9,1
Cf I O,5.5,1
I Mn O Zn,5.6,1
C F O Ru,5.3,1
H Hf N Na O P,3.8,1
Al B Fe H O,5.2,1
H N Na O P Zr,4.3,1
Mn Mo S Se,3.4,1
Al B Cr H O,5.2,1
As H O V Zn,4.6,1
Cl Fe H O Rb Si W,4.4,1
C Cl H Mg O P,5.3,1
Bi O Pr Ru,4.6,1
Al Eu La Mg O,4.4,1
As Be Ca H O Si,3.8,1
H O Pb V,4.8,1
Ag Cu S Sb,3.8,1
H K Mo O V,4.8,1
F H K O Re Se,4.7,1
Be O P Rb,4.4,1
Cs O P Y,5.0,3
Cs Cu H O P,4.8,1
Ag H O V,4.2,1
As Nb Ni,3.3,1
Bi Cr O Tl,5.0,2
F Na Rb Sm,5.2,1
Cs F Na Yb,5.2,1
Cs F Na Sm,5.2,1
Cs F Na Tb,5.2,1
Cr Eu O Ti,4.4,2
Cr Gd O Ti,4.2,1
Mn O Pr Ti,4.4,1
Co Cu O Ti,3.7,2
Ag Ni O Ti,2.2,1
Cu Ni O Sn,2.9,1
F H N Na O Sb,5.4,1
Cr F O Rb,5.1,1
F Hg O Zn,6.2,1
F Hg Mg O,6.2,1
F Hg Mn O,6.2,1
Al Ho La O Sr,3.9,1
Cu Ni Sm,3.5,1
N Nd O Ta,4.8,1
N O Ta Y,3.6,1
N O Sm Ta,4.8,1
Dy N O W,3.1,1
Ho N O W,3.3,1
N O W Yb,2.9,1
Er N O W,3.3,1
N O W Y,3.3,1
H K Mo O P W,4.5,1
Ge H K Mo Nd O,4.2,1
Co H K O V W,4.3,1
C Fe Hg N S,4.0,1
C Hg Mn N S,4.3,1
As Ce K O,4.7,1
Ni Rh Si Y,2.9,1
Cr F H O Rb,5.7,1
I Sb Se Sn,5.7,2
Cd Cs I N O,5.3,1
F Li Na Y,5.5,1
F Ho Li Na,5.6,1
Er F Li Na,5.7,1
F Li Na Yb,5.7,1
F Li Na Tm,5.6,1
F Li Lu Na,5.9,2
Ba F Fe Li Na,6.0,1
Br Cs Pt,6.0,1
Au Br Cs Pt,6.0,1
Er In Pt,3.4,1
Cr O Ti Y,5.0,1
H Mo O Si,5.4,1
Ca H O Si Y,4.2,1
Al Ca Fe Na O Si Ti,4.1,1
C Ce Dy Er H La Na Nd O Y,3.8,1
C Ca H Na O Sr Zr,4.9,1
Co F H N O P,3.8,1
Al Ba Li,4.5,1
Al Li Sr,3.8,1
Al Ca Li,3.6,1
C Si Tm,3.7,1
C La Si,3.7,1
Co Nb Rh,3.6,1
Hf K O,4.6,4
Hf Li O,4.8,2
Nb Rh Ru,3.7,1
Al Ca Ce Fe H La Mg O Si Ti,4.3,1
Au In Zr,3.1,1
Au Sc Sn,3.7,1
Cu In Sc,4.2,1
In Pd Sc,4.7,2
Fe K Li Mn Na O Si Y Zn Zr,4.9,1
C Ca Na O Pb,5.1,1
Co Mg Mn O Si,3.9,1
F Si Tl,6.2,2
Ba Ni O Ti W,3.5,1
Cu Fe Ni O,3.4,1
C Cd N Ru,3.5,1
K Li O Rb S,4.1,1
La Mn O Sr Zr,2.9,1
Al As Li O,5.2,1
As Li O Sc,4.5,1
As Na O Sc,4.5,1
Ga Pt Ti,3.1,1
Fe Ge Sn Tb,2.4,1
Al Ce Pd Y,3.6,1
Ba Ni O Sn,5.1,1
Ba Eu Mn O,3.7,1
Al N Ti Y,4.0,2
Al Co Fe O Sr,3.2,1
Al Ca Co Fe O Sr,3.7,1
Ga Np Rh,4.1,1
Ba F Li O Sr Ti,4.3,1
Fe O Pb Sc W,4.2,1
Ba Bi O Sr Ta,4.3,1
C Cd N Os,3.7,1
As Ga Li O,4.9,1
Ga Pd Ti,3.3,1
Au Ga Ti,3.4,1
Co K La Nb O,4.0,1
In Mn Tm,3.1,1
Al Co Fe Gd,3.3,1
Cd Mn S Zn,4.4,1
Ga Ni Np,3.8,1
Ca Fe La O Sr,3.6,2
Al Ti Zr,3.0,2
C Cu H N O Pd,4.1,1
Fe La Nb O Sr,3.2,1
Ce Fe La O Sr,3.7,1
Ce Co Ho La,3.2,1
Ca Fe La Nd O Sr,4.5,2
Ca Fe La O Pr Sr,3.7,2
Al B Ni,3.1,1
B Mg Pb,4.1,1
Am O Y Zr,3.8,1
Co Cr La Mg Ni,3.5,2
Ba H In La O,4.2,1
O Pb Si Ti W Zr,4.8,1
Bi Pb Se Te,5.3,3
Bi O Sm Sr,4.7,1
Bi Gd O Sr,4.4,1
Bi Eu O Sr,4.5,1
Bi Dy O Sr,4.5,1
Bi O Sr Tm,4.3,1
Bi Ho O Sr,4.2,1
Bi Er O Sr,4.3,1
Bi O Sr Yb,4.2,1
P Re V,4.5,3
Se Ta Zr,4.4,1
Ru S Sb,4.3,1
As Ru Te,4.5,1
As Os Te,5.3,1
Cu Ge O Sr,4.8,1
Rh Sn U,3.9,1
Dy H Mo N O P,4.8,1
H Lu Mo N O P,4.6,1
Bi Ca Ce In La O Pr Y,3.5,1
Bi Ca Ce Gd La O Y,4.1,1
Bi Ca Ce Gd In La O Y,3.8,1
Bi Ca La O Pr Sm Sr,4.1,1
Bi Ce La O,4.0,1
Bi Ca Gd La Nd O Pr Sr,3.8,1
Ba Co Fe La O Sr,4.0,1
Ba Bi Ca Fe La Mn O,3.8,1
Ba Bi Fe La Mn O,4.3,1
Bi Ca Co Fe La Mn O Sr,3.8,1
Ca Fe Ga La Mg O Sr Zr,4.1,1
Ca Fe Ga La Mg O Sr,3.7,1
Co O Sm Ti,4.0,1
Ni O Sm Ti,4.8,1
I La Nd,6.6,1
Ce I Nd,6.8,1
Ba Ce I,6.6,1
Ce I Sr,6.3,1
H Mo O Pr Te,4.8,1
H O Rb Si U,5.3,2
Al Cr Mg O V,3.6,1
B La Pt,3.3,1
B Pr Pt,3.1,1
In O Sn Zr,4.3,1
Be Mg N,4.4,1
Be N Sr,4.1,1
Be Ca N,4.4,1
Bi Br Pd,5.3,1
C H Li Mo O S,4.1,1
C H Mo Na O S,4.2,1
As H N Na Ni O W,5.1,1
B F H N O P,4.9,1
Al H Na O P Zr,3.6,1
Hg K Se Sn,4.7,1
Ba Ca H Nb O,5.5,1
Be F H K Ni O,5.7,1
Be Cu F H O Tl,5.3,1
Be Cs Cu F H O,5.7,1
Be F H O Tl Zn,5.3,1
Be Cd Cs F H O,5.6,1
Nb O Sr Th,4.8,2
Ca Nb O Th,4.7,2
Ca Nb O U,5.1,2
Cd Nb O Th,4.9,2
Bi Cd O Ta Zn,4.0,1
Bi Cd Nb O Zn,4.2,1
Be F K Na,6.1,1
Ba K O Si Ta,3.6,1
Cl Rb Sc,6.2,2
Br Rb Sc,6.3,2
O Sr Ta Ti,3.7,1
Ba O Sr Ta Ti,4.8,2
O Rb Sb W,3.8,1
O Sb Tl W,4.7,1
Ca Cr Gd O,4.6,1
H N Nb O Ti,4.2,1
H N O Ta Ti,4.1,1
Al Ce H O P,5.3,1
Cu Ir Pt S,4.2,1
La Ni S Si,4.4,1
Na O Sr Ta Ti,4.0,1
K O P Tb,5.0,1
Cl Cs Na Yb,4.6,1
Cl Cs Er Na,6.2,1
Br C Ir K O,5.5,1
Ge K Nb O Si,4.9,1
H Li O P Tl,5.4,1
Ce Cs F Na,4.4,1
Ca Cs F Na Y,5.7,1
Cs F Gd Na,5.1,1
Ca Cs F Na Yb,4.0,1
Ca Cs F Gd Na,4.6,1
Cs F K O Ti Y,5.1,1
F O Pb Zr,6.0,2
H Na O P Pb,4.8,1
Ba Fe Mg O U,3.0,1
Ba Mg O U,4.0,1
Li S Y Zr,4.0,2
Ba Cl O Sb,5.3,1
Cu H N O P,4.9,3
C Ca H N O Pd,4.5,1
C Ca H N O Pt,4.3,1
O P Ta Ti,4.6,1
O P Sb Ti,4.9,1
Ge Nb O P,5.2,1
O Pd Zn,3.9,2
H O P Pb U,4.1,1
Cu H O Si U,4.9,2
Ag Cl Tl,5.5,1
Ag Br Tl,5.4,1
C H N Na O Pd,4.5,1
Al H O P Th U,4.8,1
H Nd O P U,4.6,1
Co Ga Mn,3.3,1
Co Ge Th U,3.1,1
Co Si Th U,3.1,1
Ce Gd Nd O,3.3,1
Ce Gd O Sm,2.8,1
Ce Gd O Y,3.2,1
Ce O Sc,3.8,1
Ba Co Cu Fe La O,3.8,1
Ba Cu Fe La Mn O,3.6,1
Ba Cu Fe La O W,3.2,1
Ba Cu Fe La Nb O,3.3,1
B Fe Ho Tb,3.2,1
B Fe Ho Pr Tb,3.3,1
Co Dy Y,3.9,1
Ce Cu Pd,3.4,1
Cu La Pd,3.5,1
Nd O Pb Ti,4.6,1
Ca Nd O Pb Ti,3.9,2
Ce O Sm Y,3.5,1
Bi K Nb O Zn,4.4,1
Ag Bi Pb Se,4.6,1
Te Th U,4.4,2
Ba In O Y Zr,3.4,1
Ba Ga O Y Zr,3.1,1
Al Fe H Mg O Ti,3.7,1
La Li Mo O Ti,3.9,1
Ba Bi K O Rb,4.8,1
Ba Ca Nb O Ti Zn,4.1,1
Cr Te Zn,4.3,1
Al Co La Mn Ni Y,3.8,1
Dy Ho N,4.7,1
Dy N Tb,5.1,1
B C Gd Pd,2.8,1
Cu Sr Y,3.5,1
La Mn O Pb Ru,3.7,1
Ga Gd In,3.5,1
Cd Gd In,4.5,2
B Co Cu Fe Ta Zr,3.1,1
Ag La Mn,4.0,1
H K O P Sc,4.9,1
C S Tl,4.6,1
As Er O Zn,4.0,1
Cl Mo O Yb,4.3,1
Cl Lu Mo O,4.8,1
Au Ba Pt,4.6,1
Cl Rb Sr,6.3,4
Cl Cs Sr,6.1,1
As P S Se,5.2,2
C P Ru Sm,3.5,1
C Gd Os P,4.0,1
C Er P Ru,3.2,1
Dy Pt Te,3.9,1
Dy Pd Te,4.0,1
Er Pd Te,3.6,1
Er Pt Te,4.1,1
Cl Ga Tl,5.8,1
Al I Tl,6.6,1
Er Nd Si,3.7,1
F H Na Nb O Rb,6.2,1
F H Na O Rb W,4.6,1
F H Mo Na O Rb,4.2,1
F H K Na O W,4.7,1
H O P Ta W,4.9,1
Mo O P Ta,4.8,1
F Pr Zr,5.2,1
F Gd Zr,5.3,1
F Tb Zr,5.2,1
F Nd Zr,5.3,1
F Ho Zr,5.4,1
F Yb Zr,5.7,1
Dy F Zr,5.5,1
Er F Zr,5.6,1
F Tm Zr,5.7,1
F Y Zr,5.6,1
F Rb Sc,6.3,2
F Sc Tl,5.8,1
Hg O V Zn,4.3,1
Cd O V Zn,4.3,1
Cd Hg O V,3.6,1
Al Fe La Ni,3.5,1
Al Cr La Ni,3.5,1
Na Nb O Sn Sr,4.2,1
Ce Dy Mo O,3.8,1
Ba Fe O Pb Ta,4.1,1
Bi Mg O Pb Ti,4.7,2
Er Ni Tb,3.0,1
Cl D0+ Li O,3.7,1
Mg Nb O Pb Sc,4.2,1
Co Mn Sb Sn,3.5,1
Gd Ni Yb,3.0,1
N Ni Zn,2.8,1
Ba Gd O Pr Zr,3.3,1
Ba Gd O Zr,2.9,1
Ba Fe O Sr Ti,2.7,1
Mn Nb O Pb Ti Zn Zr,4.8,2
Ba F Fe O Sr Ti,3.7,1
O Pb Pr Ti,4.6,1
Fe Ga Mn N,3.6,1
La Mn O Zr,3.6,1
Mn Ni Sb,3.1,2
Ba Nb O Pb Sc,4.0,1
F Sr Yb,4.8,1
Co Sb Ti Zr,3.4,1
Ce O Pd Zr,3.6,1
Ce Hf O Pd,3.7,1
B In Mg,4.1,1
B Ga Mg,4.2,1
B Mg P,4.2,1
B Mg Tl,4.0,1
Fe La O Zn,4.1,1
Ba Ho O Ti,4.0,1
Ce Nd O Sm,3.0,1
Ce Eu O Zr,4.5,2
Ge Sb Si Te,5.5,1
C Ga Ni,2.7,1
H Li Y,4.8,1
Al H Li Na,5.2,1
Cu Si Yb Zn,3.4,1
Ba Mn O Sn,3.9,1
Mn Re Y,3.6,1
Er Mn Re,3.7,1
D0+ Mn Re Y,4.1,1
As Si Zr,4.8,1
Ba In Si,3.8,1
Al C Co W,3.6,1
Gd O Te Ti,4.2,1
H Sb Ti,4.0,1
Al Cu Ir,2.7,1
Al La Sn,4.0,1
As Ge Zr,4.0,1
Ga Gd Mn Si,4.1,1
Ga Mn Si Y,3.8,1
Er Fe Sn,3.0,1
H Mg Na Ti,4.7,1
H K Mg Ti,4.6,1
Co Ho Mn,4.6,2
Ho Mn O Ru,3.7,1
Eu O Ti Y,3.5,1
Ba Bi O Sc Ti,4.6,3
Al Cu Rh,2.9,1
Ce Cu Mn O,3.9,1
C Cr H N Ni O Ru,4.2,1
Bi Fe Nb O Pb,4.2,1
Ho La Mn O,3.3,1
Cr P Se,4.7,1
O Rb Te V,4.6,1
Co Cs N O,5.0,1
Co N O Tl,5.2,1
Co N Na O Rb,5.2,1
Co Cs N Na O,5.1,1
Co N O Rb,5.1,1
Co N Na O Tl,5.2,1
Co Dy Ga Nd,3.7,1
Ce In Tb,3.7,1
Ce Dy In,4.0,1
Al Ce Cu La,3.9,2
Al Ir Ni,2.6,1
Ce Co O Pd,4.5,1
Ce O Pr Tb,4.0,1
Ba Bi Mn O Ti,4.5,1
B F K,6.1,1
Ba Nb O Ti Zn Zr,4.6,1
Bi Mn O Pb Ti,4.7,2
C Fe Mn Sn,3.3,1
Al Co Cr Fe O,3.5,1
Cd Cu Ga In Se,4.8,1
Ba O Pr Y Zr,3.5,1
Nb P Sb,4.5,3
Fe Mn Sb Zn,3.9,1
Fe La Ni O Sr,4.3,2
Ag Sb Se Sn,4.0,1
Ba Ni O Sr Ti,4.2,1
Ba Cu O Sr Ti,3.6,1
O Pb Sb Ti Zr,4.5,1
Au Na,4.3,1
Ag Fe K Te,4.9,1
As Fe La O Sb,3.5,1
Co Fe Ge Mn,3.5,1
Co Fe Ga Mn,3.3,1
As Ca F Fe,5.4,2
Gd N O Ta,2.9,1
Ho N O Ta,3.6,1
Gd N Nb O,3.1,1
N Nb O Y,4.5,2
N Nb O Yb,2.7,1
Ce Cu Mn Ni,3.3,1
Ce Mn Nd Ni,3.8,1
Ga Nb O Sr Ti,3.8,1
La Ni Rh,3.5,1
Ir La Ni,3.5,1
Ag La Ni,3.5,1
Au La Ni,3.6,1
N Nb Nd O,4.6,1
Fe K O Sr,3.8,1
O Sb Sn V,4.4,1
Ba F Li Sr,6.0,1
Cd Cu Ga In S Se,4.8,3
Ba O Sn Sr Ti,3.3,1
Ba Bi Mg Na O Sn Sr Ti,3.9,1
Ba Bi Na O Sn Sr Ti,4.2,1
Bi Fe La O Pb Ti,4.4,2
Ba Na Nb O Sn Ti,4.5,1
Al Cr Cu Fe Mg Mn Si Ti Zn,3.2,1
Ba O Sm Ti Zr,4.1,1
Bi Er O Y,5.4,1
Al Bi K Na O Ti,4.1,2
Ce Ni O Sc Zr,4.9,1
Ba Co Fe O Sr Zn,3.6,1
La O Sr Ti Y,3.8,1
Ca K Na Nb O Zr,3.7,1
K Na Nb O Sr Zr,3.7,1
F Li Mg O,5.6,1
Ba Ca Co Fe La O Sr,4.4,1
In La O Ti,4.3,1
O Pb Ti V,4.6,1
Cr O Pb Ti,4.4,1
Cr O Pb V,4.2,1
H In Pd Ru,3.3,1
Al Ce Co Cu Fe La Mn Nd Ni Pr,3.4,1
C F H O Pb S,5.0,1
Co O Pd,1.9,1
Cl Cs Ga,4.6,2
Al Cu Mn O,3.8,1
B Fe Lu O,4.1,1
B Er Fe O,3.7,1
B Fe O Yb,3.9,1
B In O Sc,5.2,1
Ba Er Ni O Y,4.5,1
Cd Mn O Sm Sr,4.1,1
B C Er Ni,3.1,1
Ho La Mn O Sr,3.0,1
Mn Sn Tb V,4.3,1
Ba Co Gd La O Sr,3.6,1
La Mn O Pr,4.6,2
Cd F Na Nb O,4.8,2
Cd Nb O Pb,5.1,2
Br Cl Pu,6.5,1
C F H N O U,4.8,1
Eu H K O Sb W,4.9,2
Dy H K O Sb W,4.1,1
H K Lu O Sb W,3.7,1
Bi Ca Cu O Pb Sr Y,4.2,1
Ca F Mg O P,4.9,1
Cs F K Pr,3.7,1
Cs F Pr Rb,4.0,1
Cs F K Rb Tb,4.2,1
F Sr Tb,6.6,1
Am F Na,6.3,1
Am O Si,5.3,3
O Pu Si,4.3,1
Cm O Si,4.6,1
Li O Pu Si,5.7,1
Am Li O Si,6.0,1
Cm Li O Si,5.9,1
Na O Pu Si,5.8,1
Am Na O Si,5.7,1
Cm Na O Si,5.9,1
Mg O Pu Si,6.0,1
Am Mg O Si,5.8,1
Ca O Pu Si,5.4,1
Am Ca O Si,5.2,1
Ca Cm O Si,5.6,1
O Pu Si Sr,4.9,1
Am O Si Sr,4.7,2
