phases,max energy gap,n compositions
B C Ni,2.9,1
B Co Yb,3.4,1
B Cr W,3.6,2
B Cr Sc,3.9,2
B C Sc,4.1,4
B Dy Ni,3.5,8
B Dy,3.4,5
B Dy Si,3.5,2
B Dy W,3.2,2
Be Cl,5.6,2
Be Cl Li,6.1,1
Be Cl Na,6.8,1
B Er Ni,3.4,9
Er Ni,3.4,2
B Er,3.3,5
B Fe Pr,3.1,1
B Fe Si,2.8,1
B Fe W,3.1,2
B Gd O,4.6,4
B Gd Si,2.9,2
B Ho,3.6,5
B Ho Si,3.7,2
Bi Br S,5.4,1
Bi Br,5.8,3
Bi Br Te,5.1,1
Bi Ce,5.1,5
Bi Ce Ge,4.4,2
Bi Ce S,4.6,3
Bi Cl O,6.1,4
Bi Cl S,5.0,1
Bi Cl Se,6.0,4
Bi Cl Te,6.0,4
Bi Gd O,5.0,8
Bi I O,6.0,3
Bi La S,5.0,5
Bi Nb O,5.3,4
Bi O P,5.6,14
Bi O Se,5.7,4
O Se,5.5,7
