phases
Au Cl Np
Ho La Th
Co Pa Tc
Er Sc Ti
Co Er W
I In Mo
Ba Si Th
Cr Lu Tl
Bi Ga S
Os Pt Zr
Cs P Tm
Mo N W
Au Gd S
Ac Hf Xe
Cs I Sb
Bi Pd Sb
Ni Sb Tm
Cs H Tc
Br In Sn
H Y Yb
C Ir Sm
Cd He V
Br H Nb
H Hf Hg
Ba Kr Zr
Pm V Xe
Al Nb Tb
Ba Ca La
Al Ni Tb
Ag In Na
Ag As La
Mn Pm Re
La Ni Rh
Cl Na Si
C Se Yb
Rb V Zr
Ho I Li
Kr Np Pm
Hg Sb Yb
Hg Os Pa
Nd S V
Ag Co Zr
Br Ca Rb
Si Sn Y
La Mg Na
Br Li Rb
Cs Li Ta
P Pm Th
Kr Mg W
Bi Hg Sm
Hf Ho Tc
I Tc Y
Cd Na Sc
Ac As Rh
Fe O Pa
F K P
Cr Th U
Mo S Te
Gd K Sn
Mo N Y
C Dy He
N Sm Zr
Co O P
Dy I Os
Au Be Br
Eu F He
H Os Pa
As Ni Pr
He Pu Sb
Gd Pt Y
Ga K Tl
Mn Si Yb
N Pr Rb
Ag Li Yb
La Ta U
Mg Sn Tb
Cs Ir Ta
C Pt Ru
F I Np
Ca Pm Tm
Gd Mn Th
Ce Os Rh
Cl Na Tc
Ir Nb Os
Ru Sn Sr
Cu Ir Pd
Al B Mn
Al C Ho
Dy Gd Tl
Bi Mg O
Hg Mo Pm
As Be Mn
Ir Rb Te
Kr Np Tm
Cs Eu Pt
B Eu Rb
Be Kr Zr
Ac Ho Te
Se Ti W
As Sb Te
As Ca Na
Ag Br Os
F He W
Ir Pt Th
Gd Lu Ni
Ir Nd Tm
Co F Ir
Pa Pb Ta
Ag Al Bi
Er Np Tl
Mg Rh Sc
Mo Rb Yb
K Na Sc
Au Er Tc
Ac Er Tb
Be Fe Mg
In Na S
O Pm Ru
B Hg N
Cs Tc Tm
F Ta Te
As Pr Te
Cl Eu La
Br K P
