,phases,max Tc,n compositions
389,Mn O Pr,90.0,8
390,Nb Nd O,0.6,1
391,Pd Si Yb,58.0,2
392,Ba F Mn,45.0,1
393,B Fe O,415.0,5
394,Br Ni,23.0,6
395,Cl U,3.8,2
396,Co Ho O,590.0,4
397,Cr Dy O,21.0,2
398,Cr Gd O,13.0,4
399,Cr Li O,58.9,2
400,Cr O Sm,40.0,2
401,Cu Ge O,20.0,12
402,Eu Fe O,7.0,1
403,Fe Ga O,180.0,2
404,Fe Na O,723.0,3
405,Fe O Sn,210.0,1
406,Ge Mn O,60.0,29
407,Mn O Zn,50.0,1
408,O P Tb,2.15,2
409,Cl Ni Rb,10.0,1
410,Cr Nd O,37.6,4
411,F K Mn,82.2,6
412,Ho Te,2.9,1
413,Mg O V,100.0,1
414,Al C Mn,48.0,1
415,Al Cu Fe,33.0,1
416,Co Dy V,800.0,9
417,Al Cr Gd,6.8,1
418,Cu U,1.2,6
419,Gd Mg Ni,20.7,3
420,Gd Zr,241.0,1
421,Al Ce Fe,140.0,5
422,Al Fe Gd,174.0,3
423,Cl Fe Rb,1.95,1
424,Cr Cs F,60.0,1
425,Cr F K,45.8,4
426,Er Fe O,100.0,12
427,Fe Ge O,12.5,1
428,Fe Ho O,57.0,3
429,Fe O Sm,490.0,5
430,Fe O Tm,95.0,6
431,Fe O Yb,130.0,14
432,F Mn Zn,22.0,1
433,Gd O Ti,1.05,7
434,Mn O Pb,70.0,2
435,O Sr Yb,3.0,1
436,O Tb Ti,0.15,1
437,Br K U,9.8,1
438,Br U,4.0,5
439,Br Rb U,7.0,1
440,Co Dy Sn,11.0,1
441,Co Nd Sn,21.5,5
442,Cu Dy Si,11.0,3
443,Cu O Tm,12.0,1
444,Er Pd Si,23.0,6
445,Fe Nd Sb,360.0,3
446,Ga Mn N,152.9,3
447,Nd Ni Sn,17.5,11
448,Al Ni Sm,20.0,4
449,Bi Co Ho,22.0,1
450,Ce Ge Mn,389.0,9
451,Co Gd Zn,6.1,2
452,Co Tb,416.0,7
453,Sb Tb,119.0,5
454,Co Sm Sn,14.0,1
455,Cr Dy Fe,190.0,5
456,Cr O Sr,50.0,2
457,Cu Eu Si,10.0,1
458,Dy Fe Ge,45.0,6
459,Dy Fe Tb,285.0,9
460,Er Fe Mn,8.0,2
461,Fe Gd Ge,29.3,2
462,Fe Si U,640.0,2
463,Gd Ge In,76.0,1
464,Gd Ge Mn,365.0,22
465,Gd Te,9.7,1
466,Mn O Yb,35.0,7
467,Co Dy Ti,620.0,3
468,Cu Er Ge,7.2,9
469,Dy Ni Sn,28.1,4
470,Dy Te,3.4,1
471,Fe Ga Nd,365.0,2
472,Fe Tb V,468.0,7
473,As Dy,2.0,1
474,As Eu,11.85,9
475,As Mn,463.0,2
476,As U,128.0,21
477,Au Dy,22.4,1
478,B Eu,15.2,5
479,B Tm,11.0,3
480,Be U,6.0,2
481,Bi Mn,194.0,7
482,Cd Ce,0.165,1
483,Cd Gd,36.0,11
484,Cd U,1.93,2
485,Ce Ho,18.0,2
486,Co Lu,730.0,2
487,Co Mn,25.0,1
488,Dy H,3.3,1
489,Dy Th,130.0,3
490,Er H,22.5,4
491,D0+ Er,50.0,2
492,Er Ho,47.5,1
493,Er Ir,22.0,1
494,Er Zn,1.4,1
495,Eu Yb,2.3,2
496,Fe Lu,267.0,10
497,Gd H I,95.0,3
