,phases,max Tc,n compositions
2366,La Mn O Pr,113.0,1
2367,Pt Yb,0.6,2
2368,Co In Sm,7.6,2
2369,Al Ho Tb,25.0,1
2370,Dy Fe Ho Tb,180.0,1
2371,Cu Gd La O Ru Sr,175.0,2
2372,O Ru Sr,90.0,5
2373,Sb Tb V,3.9,1
2374,Gd Sb V,4.5,1
2375,Ni Np Si,12.0,1
2376,Al Ce Pd,15.0,10
2377,B Fe Ho O,23.0,3
2378,Ba Co Fe O Tb,130.0,1
2379,Ce Ge Ir,4.7,1
2380,Co Dy Fe Ho Tb,225.0,1
2381,Gd Ir Zn,2.8,1
2382,B Ce Pr,4.1,3
2383,As Eu Ni,5.0,1
2384,Er Fe Mn Sn,40.0,1
2385,Cr Fe Nd Y,201.0,1
2386,Bi Sb Tb,70.0,3
2387,Ge Sb Tb,145.0,1
2388,Cu Nd Pd,6.0,1
2389,Ag Mn O,30.8,2
2390,As Co Fe Nd O,11.0,1
2391,Ce Na O Ru,28.0,1
2392,Bi La Mn O Sr Ti,50.0,1
2393,B Pt Tm,6.0,1
2394,Al C Ge Mn,75.0,1
2395,C Ge Mn Zn,150.0,1
2396,As Ce Fe O P,3.5,2
2397,Co Gd Nd Si,215.0,1
2398,Al Er Tb,18.0,1
2399,Fe Mn Pd,12.4,3
2400,Co Cu O S Sr,125.0,1
2401,Ni O Pb,30.0,2
2402,Cr Fe Gd Nd,185.0,1
2403,Cr Fe Nd Tb,160.0,1
2404,Mn Si Sm Tb,52.0,1
2405,Co F Li Na O P,10.2,1
2406,As Fe La,139.0,1
2407,Ba Ca Co Nd O,220.0,3
2408,Ge Pr Pt,3.5,1
2409,Ce Ge H Rh,166.0,1
2410,Ce Ge H Ir,285.0,1
2411,Br Co Cs,14.0,2
2412,Co Mn Sn Tb,140.0,1
2413,Bi Fe La Lu O,140.0,1
2414,As Ba K Mn,100.0,1
2415,Co Ge Mn Sm,30.0,1
2416,Co Dy Mo V,35.0,1
2417,Gd Mn Sn Tb,259.0,1
2418,Mn Ni Sn,205.0,1
2419,As Ca Fe P,29.0,1
2420,As Ca Fe Yb,38.0,1
2421,As Ca Co Fe,54.0,2
2422,As Ca Cu Fe,40.0,1
2423,Ba Co Fe O Sr,370.0,2
2424,Ba Cu Fe O,595.0,1
2425,Al Mn O Pr Sr,250.0,3
2426,Ba Cl Co Cu O,30.0,1
2427,Bi Fe Nd O Ti,13.0,1
2428,B Fe Nd Sm,175.0,1
2429,Ge Pd Pr,0.25,1
2430,Fe La Mn O Pb,60.0,2
2431,Dy La Mn O Sr,15.0,1
2432,Fe Gd Ni O,8.5,2
2433,Ge H Pd U,26.0,1
2434,Gd Ho In Ni,9.0,1
2435,D0+ In Pt Tb,20.0,1
2436,D0+ Er In Pt,7.6,1
2437,Ge La Si Tb,200.0,2
2438,Ge H Ni U,10.0,1
2439,Cr Ir,273.0,10
2440,Tb Th,221.0,2
2441,La Tb,211.0,2
2442,Sc Tb,170.0,2
2443,Tb Y,197.0,2
2444,Mg Tb,100.0,2
2445,Tb Yb,202.0,3
2446,Cr Ga,270.0,2
2447,Sb U,73.0,1
2448,Dy Fe Gd Ti,147.0,1
2449,Ge Ho Mn Sm,250.0,2
2450,Ge Lu Mn Sm,220.0,2
2451,Ge Mn Sm Tb,210.0,2
2452,Dy Ge Mn Sm,205.0,2
2453,Fe Ni Tm,136.0,1
2454,Fe Tb Y,145.0,1
2455,Al Ce Gd,43.0,1
2456,B C Co Pr,105.0,1
2457,B C Co Nd,20.0,2
2458,Ga Pt Sm,8.0,1
2459,Ga Gd Pt,9.0,1
2460,Sb Th U,80.0,1
2461,Er Pd Sn,7.2,1
2462,Co Fe Ga Tb,30.0,1
2463,B Co Fe Nd V,118.0,1
2464,Al D0+ Ni Tb,16.0,1
2465,La O Sm Ti,85.0,1
2466,Co Fe Ga Pr,275.0,1
2467,Mn P Ru,176.0,3
2468,As Eu Sr,5.5,5
2469,Co Cu Pr Ti,344.8,1
2470,Co Cu Hf Pr,165.5,1
2471,Co Cu Pr Zr,143.4,1
2472,Ag Cu U,1.35,2
2473,Cu Tm Zn,6.4,1
2474,Ca Eu S Se,2.4,1
2475,B Fe H Pr,135.7,1
2476,B Fe H Tb,158.6,1
2477,Ce La Ru Si,2.0,2
2478,Cu Gd Pr Si,3.0,1
2479,Au Cr Fe,67.0,1
2480,Br Fe Rb,1.91,1
2481,Co Nd Pr,300.0,7
2482,Cr Mo Si,149.0,1
2483,Cl Fe Mg Rb,2.55,3
2484,F K Li Mn,84.0,2
2485,Cu Gd O Sr,23.0,3
2486,Fe Ho Mn,50.0,1
2487,Ca Cr Mn O Pr,42.0,1
2488,I Mn Na O,20.0,1
2489,Cu H O S,5.3,1
2490,Co Fe Gd,500.0,1
2491,Co Fe Nd Ti,210.0,1
2492,Ce Cu Gd Mo O Sr,95.0,1
2493,Ce Cu Gd Mo O Ru Sr,95.0,1
2494,Dy O Sn,85.0,1
2495,B C Dy Gd,19.4,7
2496,B C Dy Y,11.9,3
2497,Al Cu Fe O,10.1,5
2498,Ca Mn O Pr Ti,225.0,2
2499,Fe S Sc,350.0,1
2500,Fe S Ti,375.0,1
2501,Fe S V,477.0,1
2502,Fe Ni S,400.0,1
2503,P Ru Sm,17.5,5
2504,Co Gd Nd,158.5,1
2505,Ba Co O Yb,75.0,1
2506,Cr Gd Sb Sm,61.0,1
2507,Cr Gd La Sb,35.0,1
2508,Cr Gd Pr Sb,45.0,1
2509,Cr La Pr Sb,7.0,1
2510,Ce Cu Eu Mo O Ru Sr,25.0,1
2511,Eu Gd O,68.0,1
2512,Co Tb Tm,8.0,1
2513,La Pb Pr,0.0,1
2514,Al Cu Dy Ni,11.5,1
2515,Al Dy Fe Ge Mn,260.0,1
2516,Ce Cu Gd Mn O Ru Sr,130.0,2
2517,Eu Fe Li O,450.0,1
2518,Fe Gd Li O,480.0,1
2519,Fe Ho Li O,400.0,1
2520,Fe Li O Y,400.0,1
2521,Fe Li O Yb,400.0,1
2522,Ba Co Lu O,70.0,2
2523,Dy Fe W,275.0,2
2524,Gd Pd Rh,35.0,1
2525,Co Fe Ho O Zn,125.0,2
2526,Cu Sn U,32.0,4
2527,Fe Ge Ho Ti,10.0,1
2528,Ce Co In Rh,2.9,1
2529,B C Gd Tb,15.03,2
2530,B Ce Pt,5.6,3
2531,Ce In Ir Rh,1.0,1
2532,B Ce La Nd,1.44,6
2533,Ce Co In La,0.22,1
2534,Eu O V,131.0,1
2535,Dy Ge Si,62.0,1
2536,Mn O Pr Sr Tb,70.0,2
2537,Ho Mn O Pr Sr,70.0,2
2538,Er Mn O Pr Sr,70.0,2
2539,H Mn Tb,245.0,4
2540,Bi Fe O P,250.0,1
2541,La Mn O Sr Zn,218.0,1
2542,Er Gd Ge Ni Tm,4.0,1
2543,Dy Gd Ge Ho Ni Tb,2.2,1
2544,Ge Lu Ni Tb,7.4,2
2545,Ge Ni Tb Yb,5.3,1
2546,Dy Ge Ni Tb,7.8,1
2547,Ge Ho Ni Tb,4.9,1
2548,Gd Ge Ni Tb,7.3,2
2549,Er Gd Ge Ni,4.6,1
2550,Gd Ge Ni Tm,3.3,1
2551,Ge Ni Tb Y,4.3,1
2552,Ce Ge Rh Ru Si,3.9,1
2553,Al Gd Sm,65.0,1
2554,Ho Rh,28.0,2
2555,Ga Nd Sn,18.0,1
2556,Ga Gd Sn,100.0,1
2557,Ga Ho Sn,18.0,1
2558,Ca Mn Nd O Y,110.0,4
2559,Co Fe Ho Si,58.0,1
2560,Dy Fe Ho Si,30.0,1
2561,Fe Ho Si Y,40.0,1
2562,Ba O Tb,11.7,1
2563,Co Yb Zn,0.15,1
2564,As Eu Fe La,85.0,3
2565,Mg Mn O W,10.6,1
2566,H K Mn Mo O,8.2,1
2567,Ce Co Ga La Nd,20.0,1
2568,Bi Ca Fe O,620.0,1
2569,Ce Co O Sr,230.0,1
2570,Fe Mn Sn,197.0,2
2571,Co Pr Ti,380.0,1
2572,Co Gd Pr,77.2,2
2573,Co Pr Tb,242.0,4
2574,Co Ho Rh,20.8,2
2575,Ce Ga Ni Y,2.2,1
2576,B Cu Fe O,12.0,1
2577,Cr Cu Fe Ga O,60.0,1
2578,Cr Ge Mn Sm,174.0,4
2579,B C Dy Ho Ni,5.6,1
2580,As Mn P Rh,110.0,1
2581,Co Dy Fe O Zn,70.0,1
2582,B Co Ho La,235.0,3
2583,Cl Co Fe,8.8,1
2584,Fe Ni Se,123.0,1
2585,Co Fe In O,260.0,1
2586,Mn O Pr Sr Ti,125.0,2
2587,Dy Fe Ga O,70.0,1
2588,B Co Fe Mo Nd,119.0,1
2589,Ce Cu Zn,15.8,1
2590,B Fe Gd H,355.0,1
2591,Dy Gd Tb,196.0,1
2592,Dy Fe Si Tm,113.0,1
2593,Co H La Nd,35.0,1
2594,B Co Nd Sm,307.0,1
2595,B Co Gd Nd,478.0,1
2596,B Co Nd Pr,566.0,1
2597,Al Ce Fe Y,40.0,1
2598,Fe Nd Ti Y,152.0,3
2599,Cr S Zr,12.0,1
2600,Cu Ge Ni O,11.5,2
2601,Al Ni Pd U,2.0,1
2602,B C Er Ni Y,1.8,1
2603,Cu La Mn Si,280.0,6
2604,Co Lu Si,130.0,2
2605,Ba Co Dy Gd O,230.0,1
2606,Co Er Ni,25.0,1
2607,Al Dy Si Y,47.5,2
2608,Ag Ni O,22.0,1
2609,Ca O Ru Sr,63.0,1
2610,La O Ru Sr,25.0,1
2611,Ga La Mn O Sr,186.0,1
2612,Ge Mn Si Sm,318.0,5
2613,Pb Pd U,20.0,1
2614,Gd Sb Ti,30.0,1
2615,Ba La Mn O Sm Sr,290.0,1
2616,B Fe Yb,118.0,3
2617,Cu Fe Ga Mn Ni,272.0,2
2618,Ba Cu Gd Mn O,5.0,5
2619,Cu Fe O Rh,8.3,2
2620,Cu Fe Ir S,140.0,2
2621,As Fe K Sr,170.0,1
2622,B Ce La Pr,1.2,3
2623,Cu Li O Zn,23.0,2
2624,Co Nd Sm,30.0,1
2625,Co Fe Nd Sm,223.0,2
2626,B N Nd Ni,10.0,1
2627,Ca Cr La Mn O Sr,265.0,2
2628,Ir Pr Zn,0.11,1
2629,B Ga Nd Ru,11.8,2
2630,Al B Pr Ru,11.0,4
2631,Al B Ru Sm,15.9,2
2632,Al B Nd Ru,20.5,2
2633,Cu Fe Ga O,10.0,9
2634,Eu O Re Ru,23.0,2
2635,Ca Eu O Ru,23.0,2
2636,Al Ba Co Fe Mg O,206.0,1
2637,Ba Co Fe Ga Mg O,200.0,1
2638,Ba Co Fe In Mg O,206.0,1
2639,Ba Co Fe Mg O,206.0,1
2640,B Co Ge Y,21.0,1
2641,B Co Gd Ge,128.0,3
2642,Al B Co Gd,128.0,2
2643,B Co Gd Ge Y,95.0,2
2644,Ir Rh Si Yb,1.0,2
2645,Cr F Fe K,30.0,2
2646,Cu F Fe K,15.0,2
2647,As Ce Fe O Zn,3.8,2
2648,Dy Er Fe Ti,105.0,2
2649,Ce Eu Mn O,10.0,1
2650,As Ba Cr Fe,10.2,1
2651,Ca Co Eu O Pr,55.0,1
2652,Ce Co Hg In,6.2,1
2653,Nd Os Pr Sb,14.0,1
2654,As Eu Fe P,24.0,3
2655,As Co Gd O,3.2,1
2656,Ca O Ru Ti,43.0,1
2657,Cd Mo O Y,18.0,1
2658,La O V Y,97.0,1
2659,As Ba Fe Mo,20.0,1
2660,Cd Sm,10.2,6
2661,Ce Ni Pd Sn,3.3,1
2662,Bi Cr O Y,74.0,1
2663,As Ba Eu Fe,18.0,1
2664,Ba Ca Co O Y,281.0,3
2665,Ca Mn Na Sb,85.0,1
2666,Ir Mn O Sr,125.0,2
2667,B Ce Pt Si,2.4,1
2668,Al Mn O V,40.0,1
2669,Ca La Mn Sb,85.0,1
2670,Ca Co O Pr Tb,75.0,1
2671,Ca Cu O,30.0,1
2672,Cr Se Ti,25.0,1
2673,B Fe Sm,36.0,1
2674,B Dy Fe,9.0,1
2675,C I Tb,90.0,2
2676,Co Fe Tb Ti,260.0,3
2677,Er La Y,25.0,3
2678,Er Fe Ho V,18.0,1
2679,B C Fe Nd Pr,80.0,1
2680,B Cr Fe Nd Y,85.0,1
2681,Au Ce La,5.0,1
2682,Br Cl Fe Rb,2.5,2
2683,Er Tm,83.0,5
2684,B Co Fe Nd Si,38.0,1
2685,Co La,300.0,2
2686,Al Er Fe Yb,136.0,1
2687,Al Tb Y,28.0,1
2688,Ca Mg Mn O Pr,225.0,2
2689,Fe Gd H Mn,417.0,2
2690,Gd Ge Mn Y,340.0,1
2691,Ba Cu Dy Hg O,27.5,1
2692,Ba Cu Hg O Sm,25.0,1
2693,B Dy Fe Nd O,8.0,1
2694,La Mn O Sr Tb,221.0,1
2695,Bi Ce Mn O,50.0,2
2696,Ir Rh Te,150.0,2
2697,Cr Pt,220.0,1
2698,Gd Se,37.0,1
2699,Ho Lu,30.0,2
2700,Nd Tb,30.0,1
2701,Ho La,15.5,1
2702,Ba Fe Ni O Zn,240.0,1
2703,B Co Fe Nd Y,640.0,2
2704,Fe S Se,125.0,1
2705,Cr Fe P,120.0,2
2706,Ce Cu Ga O Pr Sr,54.0,2
2707,La Lu Tb,1.3,1
2708,Fe H Nd Ti,210.0,1
2709,Ce Co Y,530.0,1
2710,Ba Cu Fe O Zn,185.0,1
2711,Ba Cd Cu Fe O,190.0,1
2712,Cl K Ni Rb,10.7,1
2713,B Er Fe Ho,164.0,4
2714,Co Dy Pr,235.0,4
2715,Ga Ir U,25.0,1
2716,Ga Pt U,30.0,1
2717,Fe Ga Nd O,53.0,1
2718,Eu O Pb Ru,25.0,1
2719,Ga Mn Ni S,10.1,1
2720,Co Ga Ni S,6.0,1
2721,Ga Ni S Zn,5.0,1
2722,Al Ca La Mn O,120.0,2
2723,Fe O Pr Yb,24.6,2
2724,Dy Ho Mn O,61.5,2
2725,Co Er Gd Ho,23.0,1
2726,Ag Mn N Ni,90.0,1
2727,La O Ru Ti,152.0,1
2728,Cl Co Cs Ni,3.98,2
2729,Cl Cs Mg Ni,4.13,2
2730,Au Fe Ni,93.0,3
2731,Fe Rh Ru,390.0,1
2732,B Er Fe Gd,273.0,4
2733,B Ce Er Fe,202.0,3
2734,B Fe Nd V,130.0,1
2735,Co Ge Ni Tb,9.0,1
2736,Fe Nd Si Ti,100.0,1
2737,Fe Nd Pr Si Ti,411.0,2
2738,Mn O Sr W,13.0,2
2739,Ge Mn Pr Tb,344.0,2
2740,Ba Co Eu Ni O,40.0,1
2741,Ge Mn Si Tb,56.0,1
2742,Co Er O Sr,318.0,1
2743,Ce Co Cu Eu O Ru Sr,79.0,1
2744,Co Ti Tm,125.0,1
2745,Cr Eu Nd O,20.0,1
2746,C Fe H Nd,125.0,1
2747,C Fe H Ho,131.0,1
2748,Al Co Fe Ho,312.0,1
2749,Co Ga Nd Pr,227.0,1
2750,Co Er Ga Nd,165.0,1
2751,F Fe K,90.0,1
2752,B Gd Nd Rh,23.0,2
2753,B C Co Er,0.4,1
2754,B C Co Dy,2.6,1
2755,B C Co Ho,1.5,1
2756,B C Co Sm,1.7,1
2757,Fe Ni O V,350.0,5
2758,Ca Co Fe Ge O Y,140.0,1
2759,Fe Pd Pt Rh,325.0,1
2760,Fe Ir Pd Rh,318.0,1
2761,Cu Fe Ni O V,240.0,2
2762,La Pt U,14.0,1
2763,Ba O Ru Sm,42.0,1
2764,Fe Ho Te,10.0,2
2765,Co Er Mo Y,115.0,1
2766,Ce In Pr Rh,1.06,1
2767,Ca Fe Lu O,480.0,1
2768,Fe Lu O Sr,525.0,1
2769,Ba La Mn O Pb,143.0,1
2770,Co Nd V,448.0,1
2771,Co Er Nd V,352.0,1
2772,Ca Co O Sr,100.0,1
2773,Ca Co O Y,100.0,1
2774,Ca Mn Nd O Sm,110.0,1
2775,Fe Mn Nb O Pb,11.0,1
2776,K Mo O,180.0,2
2777,Nb Ru S,95.0,1
2778,F K V,40.0,2
2779,Fe Si V,90.0,3
2780,Ho O S,3.5,2
2781,Cu F Ni,66.0,1
2782,B C Mn O Sr,100.0,1
2783,Ba H Ir O,160.0,2
2784,As Ba O Sb Ti,90.0,1
2785,Nd Pd Sn,4.6,2
2786,D0+ Fe H Y,174.0,2
2787,Eu Se,2.8,5
2788,Mn S,129.0,2
2789,Cl Co H Mn O,2.55,1
2790,Co Tb Y,285.0,2
2791,Bi Ca Co La O,90.0,1
2792,Cu Fe Ge O,40.0,2
2793,Cr Fe Mn S,45.0,1
2794,La Mn O Pr Sr,130.0,1
2795,Co Na O Ti,22.0,1
2796,Co H Na O,47.0,2
2797,O Re Sm,1.9,1
2798,Ba Co Eu O Zn,245.0,2
2799,Ba Co Cu Eu O,270.0,2
2800,Cl H O V,19.5,1
2801,Ba Bi O Pr,80.3,1
2802,Ca Mn O Pr Y,110.0,2
2803,Ca Mn O Sm Y,110.0,2
2804,Ca Gd Mn O Y,110.0,2
2805,Al Mn Ni Sn,237.0,1
2806,Mn Na O Pr W,8.0,2
2807,Mn Na O Sm W,3.0,1
2808,Dy Mn Na O W,4.0,1
2809,Ge Mn Sn Te,42.0,1
2810,O Sb Sm Ti,230.0,2
2811,F O Sb Sr Ti,198.0,1
2812,Cl Ni O Sr Ta,20.0,1
2813,B Pd Tb,25.0,1
2814,Gd Pd Sn,4.0,1
2815,Au C Cu H N O,0.6,1
2816,Co Ho Pr,123.0,2
2817,Co Er Pr,65.0,2
2818,Br D0+ Fe N,4.8,2
2819,Co Ga Ho,170.0,1
2820,Ga Mn O Tb,25.0,4
2821,Ce Cu O Pr Sr Ta,19.0,1
2822,Ce Cu Nb O Pr Sr Ta,46.0,2
2823,Cr Fe Nd,158.0,2
2824,Fe In P S,40.0,1
2825,Al C Cl Co,9.1,1
2826,C Cl Co Mg,7.76,1
2827,Ag Ce La Sb,5.0,1
2828,Ca Co O Ti,150.0,1
2829,Gd Ge Pb Si,273.0,1
2830,Co Hg O Sr,150.0,1
2831,Ca Co O Pb,130.0,1
2832,Co Fe Ga Pr Ti,140.0,1
2833,Cd Nd,2.5,2
2834,Cd Tb,17.6,3
2835,Fe Sb Se,75.0,1
2836,Fe Se Si,75.0,1
2837,La O Pr Ru Ti,136.0,1
2838,Co Cu Ge O,30.0,1
2839,Fe Se Tl,140.0,2
2840,I Ni,58.0,1
2841,Mn O Ru W,6.3,1
2842,Ga Mn O Y,21.0,1
2843,Er Fe O Sm,157.0,1
2844,Al Cu Fe Ga O,445.0,1
2845,Cd Cu Nd,13.5,2
2846,Bi Ca Mn O Pr,42.0,1
2847,C Ni Pr,10.0,1
2848,Ba Fe Li O P Zr,512.0,1
2849,Fe Li O P Sr Zr,423.0,1
2850,Ca Fe Li O P Zr,350.0,1
2851,B C Ho La Ni,6.2,1
2852,Gd In Y,65.0,1
2853,Ga Gd Ge Si,286.0,1
2854,Br Cu Nb O Pb,6.0,1
2855,Ba Br Cu O Ta,5.0,1
2856,Mn Nd O Sr Ti,130.0,1
2857,Fe Mn P Si,50.0,1
2858,Ga Mn Pt,150.0,1
2859,Ge Mn Sn Yb,90.0,2
