phases,av. probability,norm. score
Cl H Te,0.7459314568333333,0.1578937430960466
Cl Pb U,0.7459213342999996,0.0709842071263592
Bi Cl Np,0.7459098472333332,0.1049837012110728
Bi Cl Hg,0.7458828864333328,0.0797190541451247
Cl Er Te,0.7457611280333328,0.0932930159828665
Br Cl Mn,0.7457553980999996,0.1583313700613972
As Cl Rb,0.7457282003333332,0.1212515508566149
Cl Te Tm,0.7456189738999998,0.0856196109757221
Bi Cl K,0.7456173879666665,0.1178348413747241
Cl Hg Sb,0.7456130884000001,0.117473660237481
Cl Pb Th,0.7456077724999994,0.0603681446159101
Cl Gd Te,0.7455802859666666,0.0859284552827461
Cl Sb U,0.7455501331333332,0.1270711260291259
Al Br I,0.7455378576333335,0.1877716399966345
Cl Co I,0.7454903721333331,0.1486352964994926
Cl Te Y,0.7454512514666668,0.1322179828551639
Cl Pb Pu,0.7454461358000001,0.0920983777686183
As Cl Ga,0.7453575061000003,0.1716971923862943
Br I Zr,0.7453559730333331,0.1233158015920244
Cl Hg Sn,0.7453304839666662,0.0971383976714157
Be Bi Cl,0.7453261467,0.1075117445742814
Cl Ga In,0.7453195158000001,0.195680290498027
Ac Cl Pb,0.7453070185999994,0.1027699662559805
Cl Hg Pb,0.7452393217666665,0.0708311515409226
Cl Sn U,0.7452110489666663,0.1072685315495789
Cl I Pd,0.7451628045,0.14096112089006
Cl Sc Te,0.7451439293333333,0.1200508571272333
As Cl P,0.7451367674999994,0.17749622967323
Cl Pa Pb,0.7451087563666665,0.1078131685887575
Br Cr I,0.7450715661666666,0.1330460246541718
B Cl Te,0.7450544686333335,0.1651056885496629
Cl Np Pb,0.7450470884999993,0.1014042715072121
Cl Sn Th,0.7450135177333335,0.0977707112162636
Br Cl Rh,0.744922810433333,0.1516925031730378
Cl Sb Th,0.7449217889666665,0.1180852166167241
Cl Pu Sb,0.7448824986333333,0.145288814577121
Cl Sb Tb,0.7448514030666666,0.1160857754116063
Cl Pm Sb,0.7448273638000004,0.1284672642829266
Cl Pu Sn,0.7448214001000002,0.1263977888503964
Ac Cl Sb,0.7448135483999998,0.1545782181742487
Br Cl S,0.7447826880666666,0.2017325467376618
Br I Pt,0.7447550752999998,0.112125031761364
Cl Pm Sn,0.7446946317666664,0.1087169734210866
Cl Te Yb,0.7446873151666665,0.0823061670203413
Be Cl Pb,0.7446827753666664,0.0993306191514131
Cl I Li,0.7446796124333331,0.1741596928893949
Cl Pa Sb,0.7446016383666668,0.1589446244125981
Ac Cl Sn,0.7445986633666669,0.1361304010395566
Cl In Rb,0.7445799151666668,0.159856117638642
Cl P Tl,0.7445107983,0.1365737287588031
Cl Se Te,0.7445014711666667,0.1793110451881412
Cl Sn Tb,0.7444722503333332,0.0956723758173117
Cl Np Sb,0.7444540306999996,0.1531059122585556
Cl Pa Sn,0.7444402881,0.1407562534172845
Cl In P,0.7444259979999994,0.2011506204261852
Cl Ge Pb,0.7444090842000002,0.1808723233981314
Cl Np Sn,0.7444085345999998,0.1349440486252484
Cl K Sb,0.7443790989999998,0.2096556477962818
As Cl Hg,0.7443430451333334,0.0910823986557895
Cl Cs P,0.7443316184000001,0.1407051442061925
Cl Ga Rb,0.7443226138333331,0.1438296544728726
Br Cl Co,0.7442433769999998,0.1541960264173721
Bi Cl Tb,0.7441876803333333,0.0776347950892343
Bi Cl Ge,0.7441585782999998,0.1876040029123165
Bi Cl Tc,0.7441506789666668,0.0962902865281938
Be Cl Sn,0.7441094870333328,0.1837173117172173
Br Te U,0.7440585621000002,0.0955588412076113
Br Te Th,0.7439379354666666,0.0856841847604856
Cd Cl Te,0.7439360810333333,0.1229421695725713
As Cl Th,0.7439200930333332,0.091718162881606
Br Tb Te,0.7438952315666667,0.0835162180118433
Bi Cl H,0.7438869789333332,0.1172985519119786
Cl Ho Sb,0.7438829967999994,0.1208832092779737
As Cl U,0.7438736044999997,0.101380672847856
Be Cl Sb,0.7438698283000006,0.201445484896753
Br H Te,0.7438402617666666,0.1504946845995451
Cl Hg In,0.7438268897333332,0.0940817915442762
Cl Pb Tb,0.7437922434000004,0.0686893574211926
Br I Li,0.7437676812,0.1669721382518481
Al Cl Pb,0.7437567808666663,0.1478086138243252
As Cl Tc,0.7437519147999991,0.1059371698087978
Cl Cs K,0.7436963849666663,0.1203172212426953
Cl Ga P,0.7436918408000002,0.2517542400736306
Cl Cs Pm,0.7435731595666667,0.0809046922489936
Br Cl Li,0.7435554492666668,0.1793885225370478
Be Br Te,0.7435256474666665,0.1415194120258677
Ac As Cl,0.7435213106666665,0.1307165695474223
Al Cl Sn,0.7435072066333334,0.2236441100384383
As Cl Pu,0.7435006426999999,0.1208352808523553
Cl Ge Sn,0.7434995404333332,0.2518730158791211
Cl Si Te,0.7434950178999998,0.1986693140172049
As Cl K,0.7434932421333335,0.158859454107013
As Cl Pm,0.7434829039666669,0.1028634160242608
Cl Ge Sb,0.7434678220666665,0.2673708297016291
Cl In U,0.7434672846000002,0.1043110445999123
Cl In Th,0.7434609536000001,0.0947320868799143
Ac Cl Cs,0.7434549289333329,0.1104343232449999
Cl Nd Sn,0.7434438907666667,0.104107298802145
As Cl Tb,0.7434267986333336,0.0895938139059163
Cl Nd Sb,0.7434139206999991,0.1240657597502298
Cl Ho Sn,0.743397312199999,0.1007449716342751
Cl Cs Pa,0.7433930327999997,0.1153466313060268
Al Cl Sb,0.7433886022666665,0.2399720959996564
Cl Pb Tc,0.7433646137666667,0.0878217350098072
Cl Lu Sb,0.7433551804666663,0.1109867947126148
Br Ho Te,0.7433550748666664,0.0887699385075747
Cl Eu Sb,0.7433372053666663,0.1146344517125811
Cl I Rh,0.7433196589999999,0.1363137418671739
Br I Mo,0.7433164773999997,0.1419989417252003
Cl Cs Np,0.7433136446666667,0.1089380746217399
As Cl Pa,0.7432817982999999,0.1353488671683185
Cs I Te,0.7432683420333329,0.1074209841020455
Bi Cl Ho,0.7432676873333333,0.0777059686279843
Cl Sb Sm,0.7432219974666667,0.1208398851601997
Bi Cl Y,0.7432038271333332,0.088693619951794
Br Dy Te,0.7432015641999999,0.0869759992756102
Cl Eu Sn,0.7431721179000003,0.0941446777037288
Bi Cl Nd,0.7431707105666664,0.0795792728924114
Cl Dy Sb,0.7431536582333326,0.1192410669711086
Cl In Pu,0.7431315794666664,0.1235929689898377
Br I Si,0.7431274500333329,0.1943234378956671
Cl Pr Sn,0.7431236619333332,0.1001540830890241
As Cl Np,0.7431102596333335,0.1291154427237576
Br Pm Te,0.7430771905666663,0.097016555060694
Cl In Pm,0.7430642617999998,0.1057712796021255
Cl Pr Sb,0.7430609279999996,0.1203218399708631
Br Pu Te,0.7430529239666663,0.1152894120593298
Bi Cl Pm,0.7430377705666666,0.0943967124747401
As Be Cl,0.7430160876333332,0.1496222297602777
Cl I Mg,0.7429729895666666,0.1605098506507694
Ac Cl In,0.7429724825000001,0.1333968324554784
Bi Cl Dy,0.7429180751999993,0.0776828870562287
Cl P Rb,0.7429121681000002,0.1500074193354262
Cl Lu Sn,0.7429089323333332,0.0902714006567781
Cl Te Zn,0.7428983840333334,0.1415945121364424
Bi Cl Sm,0.7428957660333333,0.0777919249769537
Bi Cl Pr,0.7428903856999998,0.0778314873470484
Br I S,0.7428861042999994,0.1899084832413971
Br Sm Te,0.7428826987666666,0.0887476117387456
I Sn Te,0.7428805045333335,0.1356260276264354
Cl H Pb,0.7428601402666666,0.1093340486641491
Br Pr Te,0.742859245466666,0.0881669105160621
Cl H Sn,0.7428553025333332,0.1918562129833003
Cl Fe I,0.7428483276666663,0.1526335477396285
